! CMT, C1220, 16058040, 17.2.0/1
! Date: 25/07/2018 12:34:26
! Stimulus(Hz),    S21(dB)
1.00000000000E+09,-8.94443643579E+01
1.00500000000E+09,-9.30241855974E+01
1.01000000000E+09,-8.86926436402E+01
1.01500000000E+09,-8.61568214843E+01
1.02000000000E+09,-1.02597155168E+02
1.02500000000E+09,-8.32726019405E+01
1.03000000000E+09,-8.83248578112E+01
1.03500000000E+09,-8.33129400362E+01
1.04000000000E+09,-8.48625231337E+01
1.04500000000E+09,-9.01544410198E+01
1.05000000000E+09,-8.53642828805E+01
1.05500000000E+09,-8.65690086460E+01
1.06000000000E+09,-8.40192787259E+01
1.06500000000E+09,-8.88233386260E+01
1.07000000000E+09,-8.34946875672E+01
1.07500000000E+09,-8.56505258268E+01
1.08000000000E+09,-8.51935000056E+01
1.08500000000E+09,-8.88277859779E+01
1.09000000000E+09,-8.37688902530E+01
1.09500000000E+09,-8.36144098585E+01
1.10000000000E+09,-8.05020298258E+01
1.10500000000E+09,-8.60093575510E+01
1.11000000000E+09,-8.04536743118E+01
1.11500000000E+09,-8.50292103083E+01
1.12000000000E+09,-8.45675143699E+01
1.12500000000E+09,-8.42402659732E+01
1.13000000000E+09,-7.96785320369E+01
1.13500000000E+09,-7.90012300030E+01
1.14000000000E+09,-8.43231840581E+01
1.14500000000E+09,-7.85701822518E+01
1.15000000000E+09,-8.00858644288E+01
1.15500000000E+09,-8.23016221312E+01
1.16000000000E+09,-8.77073703627E+01
1.16500000000E+09,-8.19297144721E+01
1.17000000000E+09,-8.20272652779E+01
1.17500000000E+09,-7.66678916735E+01
1.18000000000E+09,-7.78823709984E+01
1.18500000000E+09,-8.18826854433E+01
1.19000000000E+09,-7.73121104049E+01
1.19500000000E+09,-7.75517584164E+01
1.20000000000E+09,-7.66702587397E+01
1.20500000000E+09,-7.32224155712E+01
1.21000000000E+09,-7.71230942522E+01
1.21500000000E+09,-7.73269628657E+01
1.22000000000E+09,-7.72025122465E+01
1.22500000000E+09,-7.86868155873E+01
1.23000000000E+09,-7.90682188744E+01
1.23500000000E+09,-7.54197706032E+01
1.24000000000E+09,-7.57051258517E+01
1.24500000000E+09,-7.44914767573E+01
1.25000000000E+09,-7.39327633622E+01
1.25500000000E+09,-7.53105633324E+01
1.26000000000E+09,-7.28007156405E+01
1.26500000000E+09,-7.43761302781E+01
1.27000000000E+09,-7.28000758990E+01
1.27500000000E+09,-7.03131252689E+01
1.28000000000E+09,-7.10688024244E+01
1.28500000000E+09,-7.07211113639E+01
1.29000000000E+09,-7.14546915516E+01
1.29500000000E+09,-7.07017412708E+01
1.30000000000E+09,-6.91459721047E+01
1.30500000000E+09,-6.82557155706E+01
1.31000000000E+09,-6.76677914535E+01
1.31500000000E+09,-6.83398201102E+01
1.32000000000E+09,-6.62506360421E+01
1.32500000000E+09,-6.77709709789E+01
1.33000000000E+09,-6.58649565658E+01
1.33500000000E+09,-6.50392676603E+01
1.34000000000E+09,-6.37236454036E+01
1.34500000000E+09,-6.35661528550E+01
1.35000000000E+09,-6.29359766838E+01
1.35500000000E+09,-6.34412701014E+01
1.36000000000E+09,-6.19144516756E+01
1.36500000000E+09,-6.12322064504E+01
1.37000000000E+09,-6.01369688972E+01
1.37500000000E+09,-5.96119383965E+01
1.38000000000E+09,-5.91253409222E+01
1.38500000000E+09,-5.92207463732E+01
1.39000000000E+09,-5.87650780832E+01
1.39500000000E+09,-5.72906210286E+01
1.40000000000E+09,-5.53743147922E+01
1.40500000000E+09,-5.39782740779E+01
1.41000000000E+09,-5.33502524053E+01
1.41500000000E+09,-5.33844116638E+01
1.42000000000E+09,-5.28905798498E+01
1.42500000000E+09,-5.16864241323E+01
1.43000000000E+09,-5.05900689007E+01
1.43500000000E+09,-4.90266125230E+01
1.44000000000E+09,-4.82337025339E+01
1.44500000000E+09,-4.77501828186E+01
1.45000000000E+09,-4.70065505580E+01
1.45500000000E+09,-4.58048648459E+01
1.46000000000E+09,-4.44988314314E+01
1.46500000000E+09,-4.31471495301E+01
1.47000000000E+09,-4.25530657026E+01
1.47500000000E+09,-4.16307784168E+01
1.48000000000E+09,-4.06920418367E+01
1.48500000000E+09,-3.98387238702E+01
1.49000000000E+09,-3.84142617810E+01
1.49500000000E+09,-3.72403956623E+01
1.50000000000E+09,-3.64099301402E+01
1.50500000000E+09,-3.54878319501E+01
1.51000000000E+09,-3.50258421726E+01
1.51500000000E+09,-3.45366560332E+01
1.52000000000E+09,-3.36686423924E+01
1.52500000000E+09,-3.32987818764E+01
1.53000000000E+09,-3.31870665486E+01
1.53500000000E+09,-3.35401075307E+01
1.54000000000E+09,-3.41044703152E+01
1.54500000000E+09,-3.47183901891E+01
1.55000000000E+09,-3.54735346900E+01
1.55500000000E+09,-3.63633370362E+01
1.56000000000E+09,-3.70696062389E+01
1.56500000000E+09,-3.82348527148E+01
1.57000000000E+09,-3.88334588890E+01
1.57500000000E+09,-3.94831018233E+01
1.58000000000E+09,-4.06734218225E+01
1.58500000000E+09,-4.17275928262E+01
1.59000000000E+09,-4.24116633612E+01
1.59500000000E+09,-4.35896385274E+01
1.60000000000E+09,-4.44375518592E+01
1.60500000000E+09,-4.48583820968E+01
1.61000000000E+09,-4.54672629298E+01
1.61500000000E+09,-4.60064829376E+01
1.62000000000E+09,-4.62874423043E+01
1.62500000000E+09,-4.72724017593E+01
1.63000000000E+09,-4.82224148236E+01
1.63500000000E+09,-4.90370221395E+01
1.64000000000E+09,-4.97636099732E+01
1.64500000000E+09,-5.02925958356E+01
1.65000000000E+09,-5.03383525757E+01
1.65500000000E+09,-5.09034860683E+01
1.66000000000E+09,-5.17624318438E+01
1.66500000000E+09,-5.22517165358E+01
1.67000000000E+09,-5.36040718075E+01
1.67500000000E+09,-5.40855833252E+01
1.68000000000E+09,-5.37536100996E+01
1.68500000000E+09,-5.40696511821E+01
1.69000000000E+09,-5.49678415156E+01
1.69500000000E+09,-5.55598888363E+01
1.70000000000E+09,-5.65944082516E+01
1.70500000000E+09,-5.69295608527E+01
1.71000000000E+09,-5.67979174336E+01
1.71500000000E+09,-5.66691457027E+01
1.72000000000E+09,-5.69268054977E+01
1.72500000000E+09,-5.74976742508E+01
1.73000000000E+09,-5.89907493098E+01
1.73500000000E+09,-5.94574406677E+01
1.74000000000E+09,-5.91757510922E+01
1.74500000000E+09,-5.89399191893E+01
