! CMT, C1220, 16058040, 17.2.0/1
! Date: 25/07/2018 13:02:29
! Stimulus(Hz),    S21(dB)
1.00000000000E+09,-8.53915143557E+01
1.00500000000E+09,-8.47137221730E+01
1.01000000000E+09,-8.67908406597E+01
1.01500000000E+09,-9.06920880814E+01
1.02000000000E+09,-8.96319208825E+01
1.02500000000E+09,-9.25977595946E+01
1.03000000000E+09,-8.91636115181E+01
1.03500000000E+09,-8.60929800322E+01
1.04000000000E+09,-9.29593976946E+01
1.04500000000E+09,-9.21129167446E+01
1.05000000000E+09,-9.11920372369E+01
1.05500000000E+09,-9.31914978401E+01
1.06000000000E+09,-9.02317233142E+01
1.06500000000E+09,-9.00559916081E+01
1.07000000000E+09,-1.00866558801E+02
1.07500000000E+09,-9.36477970235E+01
1.08000000000E+09,-8.40317783615E+01
1.08500000000E+09,-8.87032696692E+01
1.09000000000E+09,-1.03725024996E+02
1.09500000000E+09,-8.83133531694E+01
1.10000000000E+09,-8.97842798298E+01
1.10500000000E+09,-9.14560492873E+01
1.11000000000E+09,-9.28473425676E+01
1.11500000000E+09,-9.45413692006E+01
1.12000000000E+09,-8.79543614481E+01
1.12500000000E+09,-8.51455473037E+01
1.13000000000E+09,-8.27635120654E+01
1.13500000000E+09,-8.63989636058E+01
1.14000000000E+09,-8.93417047194E+01
1.14500000000E+09,-8.98885620945E+01
1.15000000000E+09,-9.98508654180E+01
1.15500000000E+09,-9.20576581568E+01
1.16000000000E+09,-8.92330318428E+01
1.16500000000E+09,-9.70448830982E+01
1.17000000000E+09,-9.69044558314E+01
1.17500000000E+09,-1.03068188126E+02
1.18000000000E+09,-8.56438758063E+01
1.18500000000E+09,-8.85316687952E+01
1.19000000000E+09,-8.38331299386E+01
1.19500000000E+09,-8.25777176319E+01
1.20000000000E+09,-7.85342645800E+01
1.20500000000E+09,-7.73316970772E+01
1.21000000000E+09,-7.76102853571E+01
1.21500000000E+09,-9.12663298677E+01
1.22000000000E+09,-9.12497912406E+01
1.22500000000E+09,-9.30725578107E+01
1.23000000000E+09,-8.28117424764E+01
1.23500000000E+09,-9.04489578112E+01
1.24000000000E+09,-8.14295118249E+01
1.24500000000E+09,-8.15934065879E+01
1.25000000000E+09,-8.33875822977E+01
1.25500000000E+09,-8.13275798322E+01
1.26000000000E+09,-7.97574165036E+01
1.26500000000E+09,-8.11910997892E+01
1.27000000000E+09,-8.20083395896E+01
1.27500000000E+09,-7.71845252079E+01
1.28000000000E+09,-8.00665607902E+01
1.28500000000E+09,-7.92658396410E+01
1.29000000000E+09,-7.92691511510E+01
1.29500000000E+09,-8.00914627174E+01
1.30000000000E+09,-8.17017059902E+01
1.30500000000E+09,-7.83354875854E+01
1.31000000000E+09,-7.74857321862E+01
1.31500000000E+09,-7.95098018498E+01
1.32000000000E+09,-7.93809815110E+01
1.32500000000E+09,-8.19522684492E+01
1.33000000000E+09,-8.38380795209E+01
1.33500000000E+09,-8.10010442676E+01
1.34000000000E+09,-7.80654432303E+01
1.34500000000E+09,-7.72038876484E+01
1.35000000000E+09,-7.64503630620E+01
1.35500000000E+09,-7.34283758372E+01
1.36000000000E+09,-7.66325484190E+01
1.36500000000E+09,-7.33610758724E+01
1.37000000000E+09,-7.09787697731E+01
1.37500000000E+09,-7.00652691716E+01
1.38000000000E+09,-7.06646486983E+01
1.38500000000E+09,-7.02512930037E+01
1.39000000000E+09,-7.12871509402E+01
1.39500000000E+09,-7.05654373476E+01
1.40000000000E+09,-6.83823444797E+01
