! CMT, C1220, 16058040, 17.2.0/1
! Date: 26/07/2018 15:28:55
! Stimulus(Hz),    S21(dB),           S21(°)
1.00000000000E+09,-9.91623976719E+01,-1.41442339147E+02
1.00500000000E+09,-9.75001705555E+01,+3.35041290377E+01
1.01000000000E+09,-8.46844981914E+01,-1.60131738294E+02
1.01500000000E+09,-9.00026669309E+01,+1.06673941787E+01
1.02000000000E+09,-9.81611312855E+01,-1.79032131656E+02
1.02500000000E+09,-8.75079575547E+01,-9.24751426652E+01
1.03000000000E+09,-8.71933419587E+01,-1.16712182739E+02
1.03500000000E+09,-8.69129429154E+01,-1.17244273735E+02
1.04000000000E+09,-9.40859060174E+01,+2.57210446586E+01
1.04500000000E+09,-9.16143658975E+01,-1.34998534793E+02
1.05000000000E+09,-9.53840516758E+01,+1.61776903862E+02
1.05500000000E+09,-9.67471953409E+01,-5.90484781986E+01
1.06000000000E+09,-9.37164290354E+01,-1.11978009881E+02
1.06500000000E+09,-9.63808114026E+01,+1.74365518464E+01
1.07000000000E+09,-9.83894859311E+01,+1.77437509509E+02
1.07500000000E+09,-9.44313643951E+01,-7.50793479902E+01
1.08000000000E+09,-1.00028123490E+02,-1.08562049940E+02
1.08500000000E+09,-1.00136394924E+02,-1.09198737921E+02
1.09000000000E+09,-8.42230399892E+01,+1.05896431009E+02
1.09500000000E+09,-8.84023271878E+01,+1.07720802804E+02
1.10000000000E+09,-9.41797392697E+01,+1.63666457411E+02
1.10500000000E+09,-8.20442276976E+01,+1.29481497734E+02
1.11000000000E+09,-9.11063409090E+01,+1.38235146511E+02
1.11500000000E+09,-8.36294330142E+01,+1.56895594626E+02
1.12000000000E+09,-8.88591877790E+01,+1.38991994835E+02
1.12500000000E+09,-8.49070246786E+01,+1.04665626795E+02
1.13000000000E+09,-8.57904752019E+01,+6.48554502300E+01
1.13500000000E+09,-8.91329084794E+01,-5.82799970023E+01
1.14000000000E+09,-8.51894432010E+01,+1.49141760506E+02
1.14500000000E+09,-8.87549512418E+01,+9.03313117523E+01
1.15000000000E+09,-9.12877975594E+01,-1.78874911984E+02
1.15500000000E+09,-8.26493640717E+01,+3.83376377238E+01
1.16000000000E+09,-8.76848322920E+01,+1.48774752183E+02
1.16500000000E+09,-8.72550660544E+01,+1.09466034296E+02
1.17000000000E+09,-8.40895996645E+01,+1.14411339884E+02
1.17500000000E+09,-8.30400036883E+01,+9.11929900783E+01
1.18000000000E+09,-9.46287133986E+01,+5.08467868138E+01
1.18500000000E+09,-8.33010780433E+01,+8.14927319189E+01
1.19000000000E+09,-7.99734065706E+01,+7.21572922694E+01
1.19500000000E+09,-7.64346361387E+01,+5.65728154268E+01
1.20000000000E+09,-7.84392463982E+01,+1.53399604869E+01
1.20500000000E+09,-7.42402061685E+01,-3.48936251844E+00
1.21000000000E+09,-7.76988076296E+01,-1.19411847564E+01
1.21500000000E+09,-7.86999122833E+01,-1.69774359101E+01
1.22000000000E+09,-8.25431550889E+01,-2.43361337995E+01
1.22500000000E+09,-8.04351838058E+01,-5.96896050645E+01
1.23000000000E+09,-7.93859446913E+01,-4.59082880947E+01
1.23500000000E+09,-8.09529042818E+01,-6.90377519306E+01
1.24000000000E+09,-8.30705483822E+01,-6.26788756826E+01
1.24500000000E+09,-7.77716722095E+01,-7.69033915257E+01
