! CMT, C1220, 16058040, 17.2.0/1
! Date: 26/07/2018 14:47:56
! Stimulus(Hz),    S21(dB)
1.00000000000E+09,-8.59742531928E+01
1.00500000000E+09,-8.94472228997E+01
1.01000000000E+09,-8.41027155872E+01
1.01500000000E+09,-7.98257430767E+01
1.02000000000E+09,-9.62851689190E+01
1.02500000000E+09,-9.24333708400E+01
1.03000000000E+09,-1.03055867629E+02
1.03500000000E+09,-9.15816077611E+01
1.04000000000E+09,-9.62792728344E+01
1.04500000000E+09,-9.49937056144E+01
1.05000000000E+09,-8.98111805246E+01
1.05500000000E+09,-9.74917049546E+01
1.06000000000E+09,-9.43290963143E+01
1.06500000000E+09,-8.87714021094E+01
1.07000000000E+09,-9.00414625358E+01
1.07500000000E+09,-9.47230779688E+01
1.08000000000E+09,-9.45659338217E+01
1.08500000000E+09,-8.70435115472E+01
1.09000000000E+09,-8.89529217202E+01
1.09500000000E+09,-9.02779415878E+01
1.10000000000E+09,-9.09537571307E+01
1.10500000000E+09,-8.85874758548E+01
1.11000000000E+09,-9.09841230992E+01
1.11500000000E+09,-9.35522555194E+01
1.12000000000E+09,-8.13758630755E+01
1.12500000000E+09,-8.94719069449E+01
1.13000000000E+09,-8.70587077344E+01
1.13500000000E+09,-8.63507603117E+01
1.14000000000E+09,-8.47747842200E+01
1.14500000000E+09,-8.54845600883E+01
1.15000000000E+09,-9.19777912247E+01
1.15500000000E+09,-9.27621202076E+01
1.16000000000E+09,-8.89727988849E+01
1.16500000000E+09,-9.53383026729E+01
1.17000000000E+09,-1.00698766622E+02
1.17500000000E+09,-9.01237562345E+01
1.18000000000E+09,-9.59272338717E+01
1.18500000000E+09,-8.91487628312E+01
1.19000000000E+09,-8.44911320492E+01
1.19500000000E+09,-8.87958652378E+01
1.20000000000E+09,-7.95976341075E+01
1.20500000000E+09,-7.92376752045E+01
1.21000000000E+09,-8.77535145363E+01
1.21500000000E+09,-8.78327787778E+01
1.22000000000E+09,-9.48220736100E+01
1.22500000000E+09,-8.91401941129E+01
1.23000000000E+09,-8.84301186607E+01
1.23500000000E+09,-8.92181262443E+01
1.24000000000E+09,-8.97119491030E+01
1.24500000000E+09,-8.70331892043E+01
1.25000000000E+09,-8.58236299349E+01
1.25500000000E+09,-9.44274995560E+01
1.26000000000E+09,-9.04552403087E+01
1.26500000000E+09,-8.50922625842E+01
1.27000000000E+09,-8.36293137293E+01
1.27500000000E+09,-8.66668687254E+01
1.28000000000E+09,-8.01523569764E+01
1.28500000000E+09,-8.02409806748E+01
1.29000000000E+09,-8.68832385392E+01
1.29500000000E+09,-8.41519320006E+01
1.30000000000E+09,-8.07297221916E+01
1.30500000000E+09,-7.78150440442E+01
1.31000000000E+09,-7.67291877522E+01
1.31500000000E+09,-7.62271136373E+01
1.32000000000E+09,-7.75225501098E+01
1.32500000000E+09,-7.81866989018E+01
1.33000000000E+09,-7.65741218969E+01
1.33500000000E+09,-7.51344601007E+01
1.34000000000E+09,-7.56570166023E+01
1.34500000000E+09,-7.36442971694E+01
1.35000000000E+09,-7.19913717449E+01
1.35500000000E+09,-7.53345418382E+01
1.36000000000E+09,-7.65831289887E+01
1.36500000000E+09,-7.69493260923E+01
1.37000000000E+09,-7.70466717971E+01
1.37500000000E+09,-7.50947505374E+01
1.38000000000E+09,-7.50237057054E+01
