! CMT, C1220, 16058040, 17.2.0/1
! Date: 26/07/2018 15:46:48
! Stimulus(Hz),    S21(dB),           S21(°)
1.00000000000E+09,-8.39681184230E+01,-3.23224845301E+01
1.00500000000E+09,-9.05636146541E+01,+8.87995461359E+00
1.01000000000E+09,-8.85483620831E+01,-9.00431340962E+01
1.01500000000E+09,-9.07371968756E+01,-1.10593876951E+02
1.02000000000E+09,-8.39044328915E+01,-1.33701909636E+02
1.02500000000E+09,-9.37317142533E+01,-4.51139114550E+01
1.03000000000E+09,-8.47135115042E+01,-1.22121703243E+02
1.03500000000E+09,-8.23096657738E+01,-1.37686068258E+02
1.04000000000E+09,-8.34277890023E+01,-1.04769486599E+02
1.04500000000E+09,-9.07912600297E+01,-1.19272134469E+02
1.05000000000E+09,-1.03003286494E+02,+1.83592703484E+00
1.05500000000E+09,-9.17063303597E+01,-1.12379633407E+02
1.06000000000E+09,-8.40036826692E+01,-1.19243834894E+02
1.06500000000E+09,-8.30981278628E+01,-1.55635574250E+02
1.07000000000E+09,-8.99765122827E+01,-7.00487295193E+01
1.07500000000E+09,-8.57720497823E+01,-1.77968582448E+02
1.08000000000E+09,-8.26775198530E+01,-1.62870079237E+02
1.08500000000E+09,-8.21947592434E+01,+1.63260640150E+02
1.09000000000E+09,-8.33326713277E+01,-1.29825641535E+02
1.09500000000E+09,-8.44815287507E+01,-1.66173174213E+02
1.10000000000E+09,-8.47537968315E+01,+1.68516542290E+02
1.10500000000E+09,-8.31558246548E+01,+1.79884814126E+02
1.11000000000E+09,-8.30775180812E+01,-1.79834933345E+02
1.11500000000E+09,-8.89674430463E+01,+1.72955136950E+02
1.12000000000E+09,-7.99201389490E+01,+1.35523709160E+02
1.12500000000E+09,-8.48694932993E+01,+1.73617297257E+02
1.13000000000E+09,-7.82500587338E+01,+1.45378928620E+02
1.13500000000E+09,-7.92705281986E+01,+1.69848205963E+02
1.14000000000E+09,-8.18878862525E+01,+1.27623682226E+02
1.14500000000E+09,-7.89004060006E+01,+1.28360018963E+02
1.15000000000E+09,-7.85914699032E+01,+9.40274475438E+01
1.15500000000E+09,-7.95913043464E+01,+1.00055188051E+02
1.16000000000E+09,-7.87379147429E+01,+9.93180657108E+01
1.16500000000E+09,-7.73651416522E+01,+1.21136245545E+02
1.17000000000E+09,-8.31630346369E+01,+1.33665496144E+02
1.17500000000E+09,-7.92971202300E+01,+9.40576624979E+01
1.18000000000E+09,-7.89616329934E+01,+8.46460361047E+01
1.18500000000E+09,-7.68142570472E+01,+9.99515044932E+01
1.19000000000E+09,-7.39209151351E+01,+8.78781455753E+01
1.19500000000E+09,-7.21113923194E+01,+7.28649797771E+01
1.20000000000E+09,-7.18409102569E+01,+5.76550159469E+01
1.20500000000E+09,-7.19550141433E+01,+4.55407995787E+01
1.21000000000E+09,-7.17346449441E+01,+3.34766282329E+01
1.21500000000E+09,-7.31667178850E+01,+1.88709911207E+01
1.22000000000E+09,-7.99846674362E+01,+1.94161243483E+01
1.22500000000E+09,-7.44965264020E+01,+5.15356692624E+00
1.23000000000E+09,-7.44221799149E+01,+1.44607300565E+01
1.23500000000E+09,-7.53158087107E+01,+1.18258178590E+01
1.24000000000E+09,-7.37652896503E+01,+2.62669457829E-01
1.24500000000E+09,-7.32138089446E+01,-1.14293452494E+01
1.25000000000E+09,-7.46592247475E+01,-2.17362724498E+01
1.25500000000E+09,-7.42762928717E+01,-1.28879555002E+01
1.26000000000E+09,-7.33493961582E+01,-7.35357320656E+00
1.26500000000E+09,-7.18728637806E+01,-2.37938673607E+01
1.27000000000E+09,-7.22669729208E+01,-2.77332071750E+01
1.27500000000E+09,-7.15859938591E+01,-3.56854601554E+01
1.28000000000E+09,-6.97960883055E+01,-5.21995434287E+01
1.28500000000E+09,-7.02874906888E+01,-5.88359957279E+01
1.29000000000E+09,-7.04461183773E+01,-5.08982260216E+01
1.29500000000E+09,-7.01974917971E+01,-6.62213346511E+01
1.30000000000E+09,-7.08237575967E+01,-7.24636857978E+01
1.30500000000E+09,-6.95926918796E+01,-7.06240838127E+01
1.31000000000E+09,-6.80806486600E+01,-7.90711939487E+01
1.31500000000E+09,-6.79051499886E+01,-8.71708422504E+01
1.32000000000E+09,-6.74465157445E+01,-8.96746669994E+01
1.32500000000E+09,-6.68734320471E+01,-9.38655002775E+01
1.33000000000E+09,-6.51808421259E+01,-9.93308403687E+01
1.33500000000E+09,-6.53450729972E+01,-1.07929200808E+02
1.34000000000E+09,-6.43324743130E+01,-1.18996840954E+02
1.34500000000E+09,-6.42949651914E+01,-1.26717297038E+02
1.35000000000E+09,-6.37188575368E+01,-1.34721996329E+02
1.35500000000E+09,-6.34155427883E+01,-1.41650506261E+02
1.36000000000E+09,-6.34869058943E+01,-1.43309421028E+02
1.36500000000E+09,-6.32378969471E+01,-1.46146967840E+02
1.37000000000E+09,-6.17906771071E+01,-1.52146998350E+02
1.37500000000E+09,-6.10831948076E+01,-1.62277159672E+02
1.38000000000E+09,-6.11193836882E+01,-1.71186616853E+02
1.38500000000E+09,-6.09003537097E+01,-1.76719689621E+02
1.39000000000E+09,-6.03078338540E+01,+1.78735239331E+02
1.39500000000E+09,-5.95508819528E+01,+1.76608661963E+02
1.40000000000E+09,-5.80600444369E+01,+1.72461721557E+02
1.40500000000E+09,-5.67649204639E+01,+1.64278495319E+02
1.41000000000E+09,-5.60142970643E+01,+1.49927648942E+02
1.41500000000E+09,-5.56797117359E+01,+1.41077818841E+02
1.42000000000E+09,-5.50833968035E+01,+1.34734605171E+02
1.42500000000E+09,-5.44781860483E+01,+1.28127469483E+02
1.43000000000E+09,-5.34442881298E+01,+1.23012655157E+02
1.43500000000E+09,-5.22412208315E+01,+1.13767419025E+02
1.44000000000E+09,-5.11942542669E+01,+1.02610851988E+02
1.44500000000E+09,-5.06373575466E+01,+9.36995313913E+01
1.45000000000E+09,-4.98330237179E+01,+8.35522164253E+01
1.45500000000E+09,-4.92579426611E+01,+7.64820194264E+01
1.46000000000E+09,-4.78713183595E+01,+6.81150057766E+01
1.46500000000E+09,-4.68109252955E+01,+5.77759518240E+01
1.47000000000E+09,-4.56771746800E+01,+4.41922227003E+01
1.47500000000E+09,-4.52586280435E+01,+3.02133587794E+01
1.48000000000E+09,-4.50363599885E+01,+2.16536946130E+01
1.48500000000E+09,-4.38978172713E+01,+1.54403216812E+01
1.49000000000E+09,-4.23275756419E+01,+3.35342998520E+00
1.49500000000E+09,-4.10190799065E+01,-1.16496532196E+01
1.50000000000E+09,-4.01737299808E+01,-2.77379539688E+01
1.50500000000E+09,-3.94976819354E+01,-4.27823353293E+01
1.51000000000E+09,-3.87391680006E+01,-6.08262083189E+01
1.51500000000E+09,-3.87479142786E+01,-7.45941567447E+01
1.52000000000E+09,-3.77773741425E+01,-9.07604006764E+01
1.52500000000E+09,-3.74546136654E+01,-1.08355452446E+02
1.53000000000E+09,-3.74743260007E+01,-1.26704412333E+02
1.53500000000E+09,-3.74806186368E+01,-1.44424824915E+02
1.54000000000E+09,-3.79838982018E+01,-1.62920241437E+02
1.54500000000E+09,-3.87472564663E+01,-1.77751773222E+02
1.55000000000E+09,-3.92759208141E+01,+1.69825442560E+02
1.55500000000E+09,-3.93652735833E+01,+1.54875093464E+02
1.56000000000E+09,-4.02707194841E+01,+1.38071193422E+02
1.56500000000E+09,-4.10313612014E+01,+1.28968699709E+02
1.57000000000E+09,-4.12477819922E+01,+1.13090611682E+02
1.57500000000E+09,-4.23007721863E+01,+9.95628420343E+01
1.58000000000E+09,-4.31476149330E+01,+8.79611178565E+01
1.58500000000E+09,-4.39083772222E+01,+7.60118268906E+01
1.59000000000E+09,-4.53639475441E+01,+6.33974515482E+01
1.59500000000E+09,-4.64542655955E+01,+5.68713329705E+01
1.60000000000E+09,-4.73540558452E+01,+5.05939227930E+01
1.60500000000E+09,-4.78898047951E+01,+4.33529027485E+01
1.61000000000E+09,-4.83560816083E+01,+3.96033533762E+01
1.61500000000E+09,-4.81852842741E+01,+3.02326494797E+01
1.62000000000E+09,-4.86762732441E+01,+1.91355173334E+01
1.62500000000E+09,-4.93752773747E+01,+8.41226303635E+00
1.63000000000E+09,-5.04349336794E+01,-6.48516604784E-01
1.63500000000E+09,-5.11162305550E+01,-6.30443561360E+00
1.64000000000E+09,-5.16561755213E+01,-1.02066395416E+01
1.64500000000E+09,-5.16586533454E+01,-1.61998021482E+01
1.65000000000E+09,-5.17386781949E+01,-2.45205972976E+01
1.65500000000E+09,-5.19681155554E+01,-3.43656183423E+01
1.66000000000E+09,-5.22978122452E+01,-4.46997626257E+01
1.66500000000E+09,-5.31404722853E+01,-5.39435385025E+01
1.67000000000E+09,-5.43221039711E+01,-6.06440313773E+01
1.67500000000E+09,-5.44974403289E+01,-6.43824221790E+01
1.68000000000E+09,-5.46486613459E+01,-7.21675718350E+01
1.68500000000E+09,-5.48597377091E+01,-8.03417924175E+01
1.69000000000E+09,-5.50876267619E+01,-8.91341624042E+01
1.69500000000E+09,-5.61295931796E+01,-9.83146456791E+01
1.70000000000E+09,-5.68397468685E+01,-1.00972012944E+02
1.70500000000E+09,-5.67461801907E+01,-1.04028366728E+02
1.71000000000E+09,-5.67508539074E+01,-1.14138455011E+02
1.71500000000E+09,-5.69437672599E+01,-1.19701580005E+02
1.72000000000E+09,-5.75322931207E+01,-1.30910173508E+02
1.72500000000E+09,-5.82339744641E+01,-1.40831760523E+02
1.73000000000E+09,-5.91091365038E+01,-1.44072988560E+02
1.73500000000E+09,-5.95642877213E+01,-1.45527641441E+02
1.74000000000E+09,-5.90996143070E+01,-1.49861963376E+02
1.74500000000E+09,-5.88212156808E+01,-1.58455097501E+02
1.75000000000E+09,-5.91876441882E+01,-1.70964607840E+02
1.75500000000E+09,-6.00433251752E+01,-1.78890933761E+02
1.76000000000E+09,-6.07598931702E+01,+1.75618863075E+02
1.76500000000E+09,-6.14340477571E+01,+1.74471288368E+02
1.77000000000E+09,-6.15435497871E+01,+1.71934256935E+02
1.77500000000E+09,-6.14006602715E+01,+1.66871852182E+02
1.78000000000E+09,-6.04580904223E+01,+1.56190841797E+02
1.78500000000E+09,-6.07161338784E+01,+1.47132301153E+02
1.79000000000E+09,-6.14708301279E+01,+1.38141594877E+02
1.79500000000E+09,-6.30818722718E+01,+1.32050132847E+02
1.80000000000E+09,-6.31659304470E+01,+1.34809042208E+02
1.80500000000E+09,-6.37882679386E+01,+1.30995733135E+02
1.81000000000E+09,-6.26065413959E+01,+1.25021133675E+02
1.81500000000E+09,-6.15508495369E+01,+1.19278511920E+02
1.82000000000E+09,-6.20777696417E+01,+1.04716548046E+02
1.82500000000E+09,-6.29853314785E+01,+9.30382209391E+01
1.83000000000E+09,-6.49777386059E+01,+8.62439953902E+01
1.83500000000E+09,-6.54539874687E+01,+8.99122411525E+01
1.84000000000E+09,-6.46682589021E+01,+9.00556685732E+01
1.84500000000E+09,-6.41664425576E+01,+8.22888664370E+01
1.85000000000E+09,-6.41528548792E+01,+6.60692288621E+01
1.85500000000E+09,-6.34831081993E+01,+6.13474553298E+01
1.86000000000E+09,-6.56162535944E+01,+5.08239309813E+01
1.86500000000E+09,-6.69129757037E+01,+5.25698242501E+01
1.87000000000E+09,-6.62635668276E+01,+5.05764708829E+01
1.87500000000E+09,-6.59188952976E+01,+4.66925602887E+01
1.88000000000E+09,-6.56288614827E+01,+3.78037631100E+01
1.88500000000E+09,-6.58283168298E+01,+2.37729812096E+01
1.89000000000E+09,-6.69625707890E+01,+1.97650598791E+01
1.89500000000E+09,-6.70545948275E+01,+1.79468670205E+01
1.90000000000E+09,-6.82528810294E+01,+1.35936258618E+01
1.90500000000E+09,-6.71728693138E+01,+1.53158754990E+01
1.91000000000E+09,-6.60872096376E+01,+3.35192202416E+00
1.91500000000E+09,-6.58097838063E+01,-5.04257536350E+00
1.92000000000E+09,-6.72671381130E+01,-1.40844774760E+01
1.92500000000E+09,-6.93179765780E+01,-2.12638643143E+01
1.93000000000E+09,-6.86754607349E+01,-2.07747047435E+01
1.93500000000E+09,-6.81327033726E+01,-2.12563655890E+01
1.94000000000E+09,-6.77224777188E+01,-2.26300075970E+01
1.94500000000E+09,-6.64541656764E+01,-3.39583279821E+01
1.95000000000E+09,-6.73342041208E+01,-3.78689034997E+01
1.95500000000E+09,-6.76934885344E+01,-4.86975883560E+01
1.96000000000E+09,-6.86014015412E+01,-5.03080385773E+01
1.96500000000E+09,-6.81613875216E+01,-5.57463029608E+01
1.97000000000E+09,-6.69032069678E+01,-5.66435440080E+01
1.97500000000E+09,-6.52882901862E+01,-6.45915698099E+01
1.98000000000E+09,-6.59587652409E+01,-8.19468149521E+01
1.98500000000E+09,-6.63131039675E+01,-8.72289796127E+01
1.99000000000E+09,-6.74767682750E+01,-1.04292592904E+02
1.99500000000E+09,-6.79431256193E+01,-1.06111919779E+02
2.00000000000E+09,-6.83241030564E+01,-1.00995359355E+02
