! CMT, C1220, 16058040, 17.2.0/1
! Date: 26/07/2018 08:39:57
! Stimulus(Hz),    S21(dB)
1.00000000000E+09,-8.70834796288E+01
1.00500000000E+09,-8.78714864818E+01
1.01000000000E+09,-9.45453061652E+01
1.01500000000E+09,-9.33467520154E+01
1.02000000000E+09,-8.71695252610E+01
1.02500000000E+09,-9.32302734303E+01
1.03000000000E+09,-8.88801905844E+01
1.03500000000E+09,-1.08182925060E+02
1.04000000000E+09,-1.06315878610E+02
1.04500000000E+09,-8.61309003759E+01
1.05000000000E+09,-7.95625390637E+01
1.05500000000E+09,-9.81066766640E+01
1.06000000000E+09,-8.39238719353E+01
1.06500000000E+09,-9.39419533339E+01
1.07000000000E+09,-9.99986147641E+01
1.07500000000E+09,-8.79189213338E+01
1.08000000000E+09,-8.43685535089E+01
1.08500000000E+09,-8.58639289082E+01
1.09000000000E+09,-8.79692079769E+01
1.09500000000E+09,-9.16445903253E+01
1.10000000000E+09,-8.72956501066E+01
1.10500000000E+09,-8.77412163605E+01
1.11000000000E+09,-8.77700840309E+01
1.11500000000E+09,-8.70386574712E+01
1.12000000000E+09,-8.88720409996E+01
1.12500000000E+09,-1.03072638123E+02
1.13000000000E+09,-9.41547148732E+01
1.13500000000E+09,-9.05806322530E+01
1.14000000000E+09,-8.85587046286E+01
1.14500000000E+09,-8.52601068966E+01
1.15000000000E+09,-1.02160377695E+02
1.15500000000E+09,-8.93579550219E+01
1.16000000000E+09,-8.81638310201E+01
1.16500000000E+09,-8.57151986562E+01
1.17000000000E+09,-1.00937056112E+02
1.17500000000E+09,-8.19722508377E+01
1.18000000000E+09,-8.97526013825E+01
1.18500000000E+09,-8.89742368032E+01
1.19000000000E+09,-8.83099970348E+01
1.19500000000E+09,-9.94596933908E+01
1.20000000000E+09,-8.95989887288E+01
1.20500000000E+09,-8.16634851131E+01
1.21000000000E+09,-8.38134780815E+01
1.21500000000E+09,-8.10653401092E+01
1.22000000000E+09,-8.25571581504E+01
1.22500000000E+09,-9.23236983666E+01
1.23000000000E+09,-8.52566330598E+01
1.23500000000E+09,-8.54243121272E+01
1.24000000000E+09,-9.11830372047E+01
1.24500000000E+09,-8.78257817616E+01
1.25000000000E+09,-8.43239751193E+01
1.25500000000E+09,-8.72674360771E+01
1.26000000000E+09,-8.29403456710E+01
1.26500000000E+09,-9.12140780676E+01
1.27000000000E+09,-8.16860791359E+01
1.27500000000E+09,-8.23834504260E+01
1.28000000000E+09,-8.19536247303E+01
1.28500000000E+09,-8.22593057402E+01
1.29000000000E+09,-8.16282007901E+01
1.29500000000E+09,-8.31552939166E+01
1.30000000000E+09,-8.08030715821E+01
1.30500000000E+09,-7.88986044617E+01
1.31000000000E+09,-8.19089158929E+01
1.31500000000E+09,-8.02088319360E+01
1.32000000000E+09,-8.18378878322E+01
1.32500000000E+09,-7.93059086304E+01
1.33000000000E+09,-8.07287946341E+01
1.33500000000E+09,-7.50010164318E+01
1.34000000000E+09,-7.32075051281E+01
1.34500000000E+09,-7.34933867070E+01
1.35000000000E+09,-7.19544869025E+01
1.35500000000E+09,-7.17754492003E+01
1.36000000000E+09,-7.21203342405E+01
1.36500000000E+09,-7.15353435797E+01
1.37000000000E+09,-6.98146945285E+01
1.37500000000E+09,-6.89423516625E+01
1.38000000000E+09,-6.70780069302E+01
1.38500000000E+09,-6.74836135898E+01
1.39000000000E+09,-6.77140138602E+01
1.39500000000E+09,-6.69721283017E+01
1.40000000000E+09,-6.58498901227E+01
1.40500000000E+09,-6.41930566748E+01
1.41000000000E+09,-6.43417171963E+01
1.41500000000E+09,-6.39168130280E+01
1.42000000000E+09,-6.26635429889E+01
1.42500000000E+09,-6.24334617991E+01
1.43000000000E+09,-6.14843297692E+01
1.43500000000E+09,-6.07835486085E+01
1.44000000000E+09,-6.13030683054E+01
1.44500000000E+09,-5.96757585247E+01
1.45000000000E+09,-5.93078744756E+01
1.45500000000E+09,-5.74294890018E+01
1.46000000000E+09,-5.54508696135E+01
1.46500000000E+09,-5.42373536394E+01
1.47000000000E+09,-5.37220621443E+01
1.47500000000E+09,-5.34013607231E+01
1.48000000000E+09,-5.22830888043E+01
1.48500000000E+09,-5.08692988129E+01
1.49000000000E+09,-5.03033835346E+01
1.49500000000E+09,-4.89395075864E+01
1.50000000000E+09,-4.79462624892E+01
1.50500000000E+09,-4.72720930097E+01
1.51000000000E+09,-4.65675434461E+01
1.51500000000E+09,-4.58384097390E+01
1.52000000000E+09,-4.62728876476E+01
1.52500000000E+09,-4.63704327172E+01
1.53000000000E+09,-4.56731865456E+01
