! CMT, C1220, 16058040, 17.2.0/1
! Date: 26/07/2018 15:41:36
! Stimulus(Hz),    S21(dB),           S21(°)
1.00000000000E+09,-9.53768565465E+01,-1.51530146868E+01
1.00500000000E+09,-8.81843673720E+01,+2.11323884746E+00
1.01000000000E+09,-8.66621020976E+01,-8.80206188465E+01
1.01500000000E+09,-9.08041561396E+01,+2.58138803292E+01
1.02000000000E+09,-8.73771584350E+01,-1.62335320546E+02
1.02500000000E+09,-9.08543047218E+01,-8.60361879647E+00
1.03000000000E+09,-9.53606420150E+01,-1.10205361058E+02
1.03500000000E+09,-1.04734009390E+02,-6.48517927086E+00
1.04000000000E+09,-9.34601542976E+01,-9.58947850127E+00
1.04500000000E+09,-8.59308664434E+01,+1.40483102107E+02
1.05000000000E+09,-8.44043591010E+01,+1.38869407192E+02
1.05500000000E+09,-1.01168873192E+02,+7.16415961135E+01
1.06000000000E+09,-9.14567791676E+01,+1.52982587349E+02
1.06500000000E+09,-9.42622860876E+01,-1.03922311802E+02
1.07000000000E+09,-9.92969160635E+01,+4.21049467821E+01
1.07500000000E+09,-8.69098729373E+01,-1.38951309402E+02
1.08000000000E+09,-9.64582895603E+01,+1.09500177600E+02
1.08500000000E+09,-8.60948372721E+01,+1.29683720069E+02
1.09000000000E+09,-9.59098462141E+01,+1.79583711090E+02
1.09500000000E+09,-9.30451788223E+01,+1.77561196977E+02
1.10000000000E+09,-9.11234656147E+01,+1.09097788375E+02
1.10500000000E+09,-9.52749192479E+01,+5.69724414217E+01
1.11000000000E+09,-9.08433809301E+01,+1.21739310937E+02
1.11500000000E+09,-9.65021702753E+01,+6.02182639626E+01
1.12000000000E+09,-9.19736335567E+01,+1.29358144335E+02
1.12500000000E+09,-8.55146365228E+01,+1.44660938353E+02
1.13000000000E+09,-9.12121270282E+01,+1.48103152523E+02
1.13500000000E+09,-9.58245404716E+01,+6.15534803220E+01
1.14000000000E+09,-9.18767296716E+01,+1.30812699065E+02
1.14500000000E+09,-8.51504720402E+01,+1.53741187809E+02
1.15000000000E+09,-8.88503277379E+01,-7.59755015107E-01
1.15500000000E+09,-8.52291003592E+01,+7.90758262178E+01
1.16000000000E+09,-8.61982969018E+01,+5.51233121267E+01
1.16500000000E+09,-9.77242540005E+01,-7.66395419247E+01
1.17000000000E+09,-9.04681317577E+01,+1.07465269209E+02
1.17500000000E+09,-8.67665498602E+01,+8.61169074781E+01
1.18000000000E+09,-8.81157386141E+01,+6.27271974552E+01
1.18500000000E+09,-8.19293070952E+01,+5.30418039346E+01
1.19000000000E+09,-8.71882068336E+01,+1.05186617149E+02
1.19500000000E+09,-8.46277631271E+01,+4.55064026364E+01
1.20000000000E+09,-7.63855056530E+01,+1.47390091495E+01
1.20500000000E+09,-8.07169430287E+01,-5.42580874436E+00
1.21000000000E+09,-8.16409471688E+01,-3.12365815114E+01
1.21500000000E+09,-8.49891810890E+01,-5.57406578473E+01
1.22000000000E+09,-8.53377989023E+01,-2.43799653445E+01
1.22500000000E+09,-8.20558227135E+01,-2.35853485260E+01
1.23000000000E+09,-8.62416799412E+01,+1.25244924219E+01
1.23500000000E+09,-8.42823826686E+01,-4.95501874973E+01
1.24000000000E+09,-8.32414192929E+01,-5.48076365619E+01
1.24500000000E+09,-8.55371511898E+01,-4.85047268245E+01
1.25000000000E+09,-7.73255559068E+01,-6.99736276957E+01
1.25500000000E+09,-8.24493108891E+01,-9.09564392835E+01
1.26000000000E+09,-8.26395347726E+01,-9.56178448257E+01
1.26500000000E+09,-9.92662467113E+01,+2.33860088737E+01
1.27000000000E+09,-9.12308482220E+01,-5.03291716820E+01
1.27500000000E+09,-8.16054147269E+01,-8.64241522743E+01
1.28000000000E+09,-8.15979176813E+01,-9.65767363533E+01
1.28500000000E+09,-8.78681366450E+01,-9.18078816791E+01
1.29000000000E+09,-8.44336773448E+01,-7.17973995787E+01
1.29500000000E+09,-7.96041432808E+01,-5.12340859504E+01
1.30000000000E+09,-7.79181722174E+01,-8.97745195839E+01
1.30500000000E+09,-7.66696315714E+01,-1.01464395786E+02
1.31000000000E+09,-7.63712590887E+01,-1.50147483620E+02
1.31500000000E+09,-7.98968111834E+01,-1.33967222270E+02
1.32000000000E+09,-7.78889324591E+01,-1.20885690903E+02
1.32500000000E+09,-7.89207248936E+01,-1.41892151469E+02
1.33000000000E+09,-7.62818894783E+01,-1.43290345359E+02
1.33500000000E+09,-7.33223081619E+01,-1.61570747509E+02
1.34000000000E+09,-7.19032080800E+01,-1.58715909771E+02
1.34500000000E+09,-7.35750939919E+01,-1.74827918447E+02
1.35000000000E+09,-7.31730642592E+01,-1.68983280582E+02
1.35500000000E+09,-7.25247604421E+01,+1.72735316465E+02
1.36000000000E+09,-7.30923091165E+01,+1.74117603727E+02
1.36500000000E+09,-7.21242622847E+01,+1.57407515689E+02
1.37000000000E+09,-7.19154566993E+01,+1.55206862263E+02
1.37500000000E+09,-7.09064291340E+01,+1.51503396503E+02
1.38000000000E+09,-6.96002129298E+01,+1.35663014429E+02
1.38500000000E+09,-6.95440799551E+01,+1.32630026090E+02
1.39000000000E+09,-6.98466875038E+01,+1.19058873711E+02
1.39500000000E+09,-7.01700044693E+01,+1.25238538690E+02
1.40000000000E+09,-6.89431601241E+01,+1.14812947253E+02
1.40500000000E+09,-6.80752296901E+01,+1.22560099993E+02
1.41000000000E+09,-6.51430709181E+01,+1.04670968370E+02
1.41500000000E+09,-6.43630660624E+01,+9.30041255089E+01
1.42000000000E+09,-6.41663313027E+01,+7.66491929368E+01
1.42500000000E+09,-6.41980493402E+01,+7.34005083079E+01
1.43000000000E+09,-6.27318401077E+01,+6.82417047857E+01
1.43500000000E+09,-6.06714114311E+01,+5.64615882949E+01
1.44000000000E+09,-6.06890039055E+01,+4.61606567282E+01
1.44500000000E+09,-5.95179910298E+01,+3.83976599912E+01
1.45000000000E+09,-5.85055072322E+01,+2.45169078690E+01
1.45500000000E+09,-5.82427085022E+01,+1.98678437519E+01
1.46000000000E+09,-5.52378954503E+01,+1.41086702088E+01
1.46500000000E+09,-5.27325107480E+01,-1.21844834905E+01
1.47000000000E+09,-5.30278888038E+01,-3.48921195208E+01
1.47500000000E+09,-5.30857273449E+01,-5.04531298250E+01
1.48000000000E+09,-5.30870040033E+01,-6.54991809964E+01
1.48500000000E+09,-5.32350420616E+01,-7.29470812451E+01
1.49000000000E+09,-5.21285689412E+01,-8.33299760102E+01
1.49500000000E+09,-5.11602992472E+01,-9.57757081800E+01
1.50000000000E+09,-4.90173803514E+01,-1.13222276228E+02
1.50500000000E+09,-4.79718360287E+01,-1.40048701563E+02
1.51000000000E+09,-4.91555367988E+01,-1.71595953330E+02
1.51500000000E+09,-5.15256154521E+01,-1.78174632566E+02
1.52000000000E+09,-5.10782247201E+01,+1.68871435483E+02
1.52500000000E+09,-5.11693446700E+01,+1.54030925547E+02
1.53000000000E+09,-5.15323652549E+01,+1.40567304271E+02
1.53500000000E+09,-5.18207766554E+01,+1.26283978266E+02
1.54000000000E+09,-5.11920614776E+01,+1.12803883887E+02
1.54500000000E+09,-5.12474061045E+01,+9.12501023178E+01
1.55000000000E+09,-5.21200517706E+01,+7.03216048443E+01
1.55500000000E+09,-5.26059253465E+01,+4.72799416548E+01
1.56000000000E+09,-5.80894918135E+01,+1.77588823253E+01
1.56500000000E+09,-6.05024195385E+01,+4.65774916577E+01
1.57000000000E+09,-5.75131635224E+01,+3.90637510633E+01
1.57500000000E+09,-5.78370763330E+01,+1.31386467937E+01
1.58000000000E+09,-5.99093686045E+01,+1.13528480456E+01
1.58500000000E+09,-5.72924158048E+01,+1.50464271821E+00
1.59000000000E+09,-5.74900344296E+01,-2.76213048661E+01
1.59500000000E+09,-6.00655507788E+01,-6.05844982081E+01
1.60000000000E+09,-6.63630522689E+01,-7.40646651600E+01
1.60500000000E+09,-6.78035216232E+01,-5.14294965916E+01
1.61000000000E+09,-6.50951755227E+01,-4.96492970331E+01
1.61500000000E+09,-6.49128344079E+01,-7.04399828765E+01
1.62000000000E+09,-6.62058976683E+01,-9.34964374736E+01
1.62500000000E+09,-7.08112135582E+01,-1.01567800796E+02
1.63000000000E+09,-7.08387669190E+01,-1.11539930923E+02
1.63500000000E+09,-7.24321774721E+01,-1.17294411447E+02
1.64000000000E+09,-7.36863567605E+01,-1.44191996514E+02
1.64500000000E+09,-8.10242295569E+01,+1.72598407515E+02
1.65000000000E+09,-8.55432409424E+01,-1.14271597674E+01
1.65500000000E+09,-7.68926247590E+01,-4.95394586753E+01
1.66000000000E+09,-7.59524195441E+01,-9.32866210316E+01
