! CMT, C1220, 16058040, 17.2.0/1
! Date: 02/08/2018 12:47:39
! Stimulus(Hz),    S21(dB),           S21(°)
1.00000000000E+09,-8.81666466336E+01,+1.07539286026E+02
1.00500000000E+09,-9.47523920954E+01,+1.69643063083E+02
1.01000000000E+09,-8.99287540920E+01,+9.50888953091E+01
1.01500000000E+09,-8.73509047364E+01,-9.35218044555E+01
1.02000000000E+09,-8.50952402346E+01,-1.70324730638E+02
1.02500000000E+09,-1.00630775770E+02,-1.73342064482E+02
1.03000000000E+09,-9.55801358151E+01,-8.65467966324E+01
1.03500000000E+09,-9.04429522351E+01,+1.70870015232E+02
1.04000000000E+09,-1.11803556525E+02,-1.06535079182E+02
1.04500000000E+09,-8.35372425389E+01,-7.86648727785E+01
1.05000000000E+09,-8.95091048903E+01,-1.59851001830E+02
1.05500000000E+09,-9.36453142948E+01,-1.57791901463E+02
1.06000000000E+09,-9.62052126784E+01,-1.04103856302E+02
1.06500000000E+09,-8.89235902005E+01,+3.49720559026E+01
1.07000000000E+09,-1.07678728938E+02,+3.92440367208E+01
1.07500000000E+09,-9.84253906894E+01,+1.77398701569E+01
1.08000000000E+09,-9.93214327425E+01,-6.16274567946E+01
1.08500000000E+09,-8.51628781892E+01,-1.54463587000E+02
1.09000000000E+09,-8.66353689060E+01,+1.32215396337E+02
1.09500000000E+09,-8.94033620552E+01,+1.36698731243E+02
1.10000000000E+09,-8.88233552152E+01,+1.00307004687E+02
1.10500000000E+09,-8.82350139408E+01,+1.31910507614E+02
1.11000000000E+09,-8.41830121047E+01,+1.58745598895E+02
1.11500000000E+09,-8.41798942839E+01,+1.40711053678E+02
1.12000000000E+09,-1.10538057223E+02,+1.44288791104E+02
1.12500000000E+09,-9.55333175012E+01,+6.25260824604E+01
1.13000000000E+09,-9.38620657349E+01,+4.94967686858E+01
1.13500000000E+09,-8.45407214066E+01,+1.14229069354E+02
1.14000000000E+09,-8.61826177345E+01,+1.73301980380E+02
1.14500000000E+09,-8.53803772221E+01,+7.14351595449E+01
1.15000000000E+09,-8.91484000048E+01,+9.47364877349E+01
1.15500000000E+09,-8.53905074314E+01,+6.00565357636E+01
1.16000000000E+09,-9.59895934833E+01,-1.29119648184E+02
1.16500000000E+09,-8.31912035891E+01,+7.62165809575E+01
1.17000000000E+09,-8.83077219301E+01,+8.86012991229E+01
1.17500000000E+09,-8.59328653126E+01,+8.68278703235E+01
1.18000000000E+09,-7.82388598904E+01,+5.41577528118E+01
1.18500000000E+09,-7.81226388892E+01,+5.98741374432E+01
1.19000000000E+09,-8.82920121591E+01,+3.37357519493E+01
1.19500000000E+09,-8.10566695171E+01,+6.33024844644E+01
1.20000000000E+09,-7.63507005630E+01,+2.17692635000E+01
1.20500000000E+09,-7.49684318530E+01,-6.04766889872E+00
1.21000000000E+09,-7.66453727943E+01,-1.34344548599E+01
1.21500000000E+09,-7.93519567404E+01,-2.76650628772E+01
1.22000000000E+09,-8.23867320881E+01,-3.85330649026E+01
1.22500000000E+09,-8.56559263180E+01,-4.04323619468E+01
1.23000000000E+09,-7.97365623076E+01,-4.64736098517E+01
1.23500000000E+09,-8.09779615947E+01,-5.44596283713E+01
1.24000000000E+09,-8.30215958044E+01,-5.44251618122E+01
1.24500000000E+09,-7.78800370567E+01,-5.30645902665E+01
1.25000000000E+09,-8.22108900916E+01,-6.74405025598E+01
1.25500000000E+09,-8.09046012312E+01,-7.92007048269E+01
1.26000000000E+09,-8.09416798845E+01,-8.72254559881E+01
1.26500000000E+09,-8.02841316209E+01,-1.00254111958E+02
1.27000000000E+09,-8.05698436068E+01,-7.49658500971E+01
1.27500000000E+09,-7.87160705846E+01,-1.05030545492E+02
1.28000000000E+09,-7.90686223189E+01,-1.03276726244E+02
1.28500000000E+09,-7.68878139240E+01,-1.13088175251E+02
1.29000000000E+09,-7.59358245201E+01,-1.14472883765E+02
1.29500000000E+09,-7.68033357101E+01,-1.25438535428E+02
1.30000000000E+09,-7.90422612449E+01,-1.34516884227E+02
1.30500000000E+09,-7.64362288635E+01,-1.48745904156E+02
1.31000000000E+09,-7.72554517019E+01,-1.36308933660E+02
1.31500000000E+09,-7.50892193955E+01,-1.41311230337E+02
1.32000000000E+09,-7.58835354805E+01,-1.59005402648E+02
1.32500000000E+09,-7.79782736486E+01,+1.74161751279E+02
