! CMT, C1220, 16058040, 17.2.0/1
! Date: 02/08/2018 13:37:16
! Stimulus(Hz),    S21(Real),         S21(Imag)
1.00000000000E+09,+4.65068721243E-07,-2.83286584524E-05
1.00500000000E+09,-2.18472300975E-06,-3.69357126131E-05
1.01000000000E+09,-2.02874072080E-05,-3.08105559038E-05
1.01500000000E+09,+3.72431580379E-05,-3.91570349224E-05
1.02000000000E+09,-1.34256229397E-05,-1.11455938216E-06
1.02500000000E+09,-5.79642346198E-05,-5.12516758815E-06
1.03000000000E+09,-9.58762922256E-06,-1.98618998269E-05
1.03500000000E+09,-1.25654921431E-05,-4.93287016542E-06
1.04000000000E+09,-2.61937509222E-05,-3.34523821136E-06
1.04500000000E+09,-1.93014475550E-05,+4.59891877588E-05
1.05000000000E+09,-1.31234809510E-05,+4.40250499416E-05
1.05500000000E+09,-3.76883513994E-05,-1.09311727099E-05
1.06000000000E+09,-5.77145182137E-05,+4.15740078661E-05
1.06500000000E+09,-3.70435996209E-05,-7.94725462634E-06
1.07000000000E+09,-3.48886479861E-05,+1.52075652607E-05
1.07500000000E+09,-5.21284169187E-05,+3.72665344960E-05
1.08000000000E+09,-6.71964289837E-05,-3.40970598256E-06
1.08500000000E+09,-2.37484333405E-05,+2.45824251176E-05
1.09000000000E+09,-4.79832457848E-05,+5.03051037448E-05
1.09500000000E+09,-3.01370922709E-05,+4.08583337495E-05
1.10000000000E+09,-3.25337761412E-05,+5.25303494340E-05
1.10500000000E+09,-4.41060666695E-06,+1.59506845355E-05
1.11000000000E+09,-3.99692945356E-05,-6.70371090104E-06
1.11500000000E+09,-3.10011004736E-06,+2.85608481309E-05
1.12000000000E+09,-1.09207987766E-05,+2.59752254929E-05
1.12500000000E+09,+2.64998388057E-05,+4.87338512037E-05
1.13000000000E+09,+6.24463628574E-05,+2.56592420447E-05
1.13500000000E+09,-3.29183891360E-05,+4.43671591591E-05
1.14000000000E+09,-5.30826527268E-07,+5.82149944020E-05
1.14500000000E+09,+5.59854651804E-06,+2.68674618226E-05
1.15000000000E+09,+2.64423606288E-05,+3.75591953599E-05
1.15500000000E+09,+1.02632233863E-05,+4.65899330240E-05
1.16000000000E+09,+1.10850340452E-05,-1.05209218694E-05
1.16500000000E+09,-1.08606525125E-05,+5.20558657004E-05
1.17000000000E+09,+2.10341378156E-05,+3.67685531044E-05
1.17500000000E+09,+3.85697831345E-05,+2.69394633047E-05
1.18000000000E+09,+6.67419035186E-05,+2.35541840232E-05
1.18500000000E+09,+2.74638941709E-05,-1.37499757227E-05
1.19000000000E+09,+8.67450408131E-05,+4.17383490408E-05
1.19500000000E+09,+3.55576319641E-05,+5.96434939912E-06
1.20000000000E+09,+8.44890037505E-05,-6.29246146616E-06
1.20500000000E+09,+8.37923786281E-05,-3.91883064329E-05
1.21000000000E+09,+2.12371745790E-05,-7.97832281038E-05
1.21500000000E+09,+4.23296225687E-05,-4.61412253571E-05
1.22000000000E+09,-7.27373247483E-06,-2.26553650049E-05
1.22500000000E+09,+5.96480936842E-06,-4.60187641714E-05
1.23000000000E+09,+3.80609387601E-05,-2.47177551437E-05
1.23500000000E+09,+7.13053965358E-05,-4.98323663009E-05
1.24000000000E+09,+2.69480169350E-05,-4.53473643748E-05
1.24500000000E+09,+1.41593651509E-05,-8.35077100983E-05
1.25000000000E+09,+2.16331331434E-05,-4.99510958143E-05
1.25500000000E+09,+9.93564393082E-06,-8.18934233547E-05
1.26000000000E+09,+4.38383565159E-05,-5.89483571461E-05
1.26500000000E+09,+4.51996317622E-05,-8.53895623420E-05
1.27000000000E+09,-5.08047502496E-06,-8.75683129356E-05
1.27500000000E+09,-2.06692128342E-05,-5.62161617575E-05
1.28000000000E+09,-5.85853341050E-05,-1.02341668192E-04
1.28500000000E+09,-4.68994947392E-05,-1.39016545928E-04
1.29000000000E+09,-8.77569502778E-05,-8.22642731644E-05
1.29500000000E+09,-4.55192292923E-05,-7.43477029240E-05
1.30000000000E+09,-5.05185465561E-05,-6.84219182489E-05
1.30500000000E+09,-4.80810026185E-05,-3.09171990403E-05
1.31000000000E+09,-6.98635801931E-05,-7.18265833915E-05
1.31500000000E+09,-1.15308712718E-04,-5.85133678745E-05
1.32000000000E+09,-9.49385235416E-05,-4.56779416449E-05
1.32500000000E+09,-9.45787578279E-05,+1.22703028773E-05
1.33000000000E+09,-5.13888490954E-05,-5.82835367623E-05
1.33500000000E+09,-5.46443728142E-05,-1.19757119398E-04
1.34000000000E+09,-1.44542606522E-04,-4.99137606657E-05
1.34500000000E+09,-1.33494677347E-04,-7.20416841758E-05
1.35000000000E+09,-1.61776050164E-04,-1.73240418992E-05
1.35500000000E+09,-1.01914765037E-04,+1.62096496326E-05
1.36000000000E+09,-1.61868333552E-04,+6.46357791135E-05
1.36500000000E+09,-1.61574975704E-04,+4.79873406403E-05
1.37000000000E+09,-1.94093819032E-04,+1.56392683237E-05
1.37500000000E+09,-2.24087570053E-04,+4.39816826421E-05
1.38000000000E+09,-3.11603743475E-04,+1.12959104326E-04
1.38500000000E+09,-1.99149650789E-04,+2.24824067029E-04
1.39000000000E+09,-1.44295561271E-04,+2.58757999491E-04
1.39500000000E+09,-1.43816113516E-04,+3.29598334750E-04
1.40000000000E+09,-1.30011226576E-04,+3.42330112533E-04
1.40500000000E+09,-7.18972980012E-05,+3.38643590962E-04
1.41000000000E+09,-1.38855429103E-04,+4.22383398410E-04
1.41500000000E+09,-6.00150871926E-06,+5.10682044193E-04
1.42000000000E+09,+6.93266492977E-05,+5.26754059793E-04
1.42500000000E+09,+1.44462689917E-04,+5.49200265656E-04
1.43000000000E+09,+1.89816435615E-04,+6.78453651314E-04
1.43500000000E+09,+4.52791531358E-04,+7.86686464343E-04
1.44000000000E+09,+7.10064689774E-04,+5.98651144365E-04
1.44500000000E+09,+7.87992973467E-04,+3.62122575539E-04
1.45000000000E+09,+7.37096557053E-04,+2.91747971059E-04
1.45500000000E+09,+7.92372074385E-04,+3.33576171159E-04
