! CMT, C1220, 16058040, 17.2.0/1
! Date: 14/08/2018 11:27:57
! Stimulus(Hz),    S11(dB),           S11(°)
1.00000000000E+09,-1.97669607992E-01,+1.34548281610E+02
1.00500000000E+09,-2.00916405951E-01,+1.34175549259E+02
1.01000000000E+09,-2.00427210702E-01,+1.33845254982E+02
1.01500000000E+09,-1.98043461109E-01,+1.33573404077E+02
1.02000000000E+09,-1.92036180321E-01,+1.33307260436E+02
1.02500000000E+09,-1.82247053608E-01,+1.33071923710E+02
1.03000000000E+09,-1.69149176156E-01,+1.32841343491E+02
1.03500000000E+09,-1.59778554096E-01,+1.32592178345E+02
1.04000000000E+09,-1.51580531526E-01,+1.32309980734E+02
1.04500000000E+09,-1.45274677851E-01,+1.32007437469E+02
1.05000000000E+09,-1.44247649525E-01,+1.31684111571E+02
1.05500000000E+09,-1.45535898930E-01,+1.31332056558E+02
1.06000000000E+09,-1.49228088209E-01,+1.30975235013E+02
1.06500000000E+09,-1.52864420443E-01,+1.30622575001E+02
1.07000000000E+09,-1.59434434993E-01,+1.30275436043E+02
1.07500000000E+09,-1.66285812792E-01,+1.29954700108E+02
1.08000000000E+09,-1.68490356124E-01,+1.29626787268E+02
1.08500000000E+09,-1.71528332659E-01,+1.29319453759E+02
1.09000000000E+09,-1.67307412732E-01,+1.29002203603E+02
1.09500000000E+09,-1.63964536330E-01,+1.28676525317E+02
1.10000000000E+09,-1.62094992886E-01,+1.28324934439E+02
1.10500000000E+09,-1.59213071817E-01,+1.27960779861E+02
1.11000000000E+09,-1.59146155419E-01,+1.27591257825E+02
1.11500000000E+09,-1.60468979971E-01,+1.27205933310E+02
1.12000000000E+09,-1.65339611879E-01,+1.26839333335E+02
1.12500000000E+09,-1.72792294517E-01,+1.26455539712E+02
1.13000000000E+09,-1.81813607537E-01,+1.26098765559E+02
1.13500000000E+09,-1.93259508575E-01,+1.25744998385E+02
1.14000000000E+09,-2.01858581932E-01,+1.25394736864E+02
1.14500000000E+09,-2.10599732953E-01,+1.25045551645E+02
1.15000000000E+09,-2.16216732421E-01,+1.24662083691E+02
1.15500000000E+09,-2.18764088395E-01,+1.24270597351E+02
1.16000000000E+09,-2.22765933700E-01,+1.23853063188E+02
1.16500000000E+09,-2.22829012108E-01,+1.23419401987E+02
1.17000000000E+09,-2.24881820535E-01,+1.22981164086E+02
1.17500000000E+09,-2.29515685184E-01,+1.22553453077E+02
1.18000000000E+09,-2.32807903970E-01,+1.22144764318E+02
1.18500000000E+09,-2.37916616932E-01,+1.21752510727E+02
1.19000000000E+09,-2.45484992115E-01,+1.21383848646E+02
1.19500000000E+09,-2.50082297655E-01,+1.21043830029E+02
1.20000000000E+09,-2.57907442689E-01,+1.20731576370E+02
1.20500000000E+09,-2.57778904632E-01,+1.20398729967E+02
1.21000000000E+09,-2.56997385982E-01,+1.20028844305E+02
1.21500000000E+09,-2.55495676893E-01,+1.19611520131E+02
1.22000000000E+09,-2.55324295601E-01,+1.19143820104E+02
1.22500000000E+09,-2.55993203068E-01,+1.18637775558E+02
1.23000000000E+09,-2.60629044787E-01,+1.18130281172E+02
1.23500000000E+09,-2.65274595278E-01,+1.17629317913E+02
1.24000000000E+09,-2.73140314822E-01,+1.17120630257E+02
1.24500000000E+09,-2.77591647968E-01,+1.16634297626E+02
1.25000000000E+09,-2.84944351395E-01,+1.16160135614E+02
1.25500000000E+09,-2.93929850071E-01,+1.15717144280E+02
1.26000000000E+09,-2.98203265456E-01,+1.15278946161E+02
1.26500000000E+09,-2.99132617708E-01,+1.14849823520E+02
1.27000000000E+09,-2.97670948926E-01,+1.14408562570E+02
1.27500000000E+09,-2.91974798945E-01,+1.13959245224E+02
1.28000000000E+09,-2.85350085417E-01,+1.13483942075E+02
1.28500000000E+09,-2.77914768148E-01,+1.12978292281E+02
1.29000000000E+09,-2.71869254614E-01,+1.12482461211E+02
1.29500000000E+09,-2.67025039678E-01,+1.11950838985E+02
1.30000000000E+09,-2.68728901069E-01,+1.11394777229E+02
1.30500000000E+09,-2.77811841045E-01,+1.10857315351E+02
1.31000000000E+09,-2.92044234129E-01,+1.10310432066E+02
1.31500000000E+09,-3.08554773037E-01,+1.09780837660E+02
1.32000000000E+09,-3.24324114431E-01,+1.09230996642E+02
1.32500000000E+09,-3.40010726640E-01,+1.08647550279E+02
1.33000000000E+09,-3.54189735151E-01,+1.08001254378E+02
1.33500000000E+09,-3.69967953528E-01,+1.07294412078E+02
1.34000000000E+09,-3.83505664345E-01,+1.06548052904E+02
1.34500000000E+09,-3.98248502938E-01,+1.05719853899E+02
1.35000000000E+09,-4.16515423900E-01,+1.04871837407E+02
1.35500000000E+09,-4.37855111170E-01,+1.03983501621E+02
1.36000000000E+09,-4.59941913730E-01,+1.03091176200E+02
1.36500000000E+09,-4.85088289709E-01,+1.02184295566E+02
1.37000000000E+09,-5.11510872040E-01,+1.01258500118E+02
1.37500000000E+09,-5.37178588364E-01,+1.00336996366E+02
1.38000000000E+09,-5.64011018853E-01,+9.93939009047E+01
1.38500000000E+09,-5.90696186249E-01,+9.84041107310E+01
1.39000000000E+09,-6.17536193500E-01,+9.74015865356E+01
1.39500000000E+09,-6.46104728852E-01,+9.63600680582E+01
1.40000000000E+09,-6.79302174821E-01,+9.52600557770E+01
1.40500000000E+09,-7.16503823843E-01,+9.41293644201E+01
1.41000000000E+09,-7.61762238042E-01,+9.29449150622E+01
1.41500000000E+09,-8.19141706651E-01,+9.17143251195E+01
1.42000000000E+09,-8.86258406574E-01,+9.04373626842E+01
1.42500000000E+09,-9.63357593589E-01,+8.91336158066E+01
1.43000000000E+09,-1.04462263310E+00,+8.77606796111E+01
1.43500000000E+09,-1.13240656715E+00,+8.62718735705E+01
1.44000000000E+09,-1.22086567889E+00,+8.46514117561E+01
1.44500000000E+09,-1.31749895121E+00,+8.28054241772E+01
1.45000000000E+09,-1.43242674993E+00,+8.07491128177E+01
1.45500000000E+09,-1.56726897426E+00,+7.85135958852E+01
1.46000000000E+09,-1.72323864158E+00,+7.60514808985E+01
