! CMT, C1220, 16058040, 17.2.0/1
! Date: 27/07/2018 10:49:01
! Stimulus(Hz),    S21(dB),           S21(°)
2.50000000000E+09,-7.53873800635E+01,-2.61508441915E+01
2.50500000000E+09,-7.31522544063E+01,-3.41908035774E+01
2.51000000000E+09,-7.36673584851E+01,-4.70049703494E+01
2.51500000000E+09,-7.15223891903E+01,-4.73677025435E+01
2.52000000000E+09,-7.14126904973E+01,-6.60332238057E+01
2.52500000000E+09,-7.16888410133E+01,-7.37791453251E+01
2.53000000000E+09,-7.32934597272E+01,-8.34126527743E+01
2.53500000000E+09,-7.12819346959E+01,-9.45990296626E+01
2.54000000000E+09,-6.93627697129E+01,-1.07300015240E+02
2.54500000000E+09,-7.07891531950E+01,-1.26954497175E+02
2.55000000000E+09,-7.10396371666E+01,-1.68359604503E+02
2.55500000000E+09,-7.57451674114E+01,-1.79338858207E+02
2.56000000000E+09,-8.19714893571E+01,+1.56295503086E+02
2.56500000000E+09,-8.67565715140E+01,-1.56200462992E+02
2.57000000000E+09,-7.68381727926E+01,-1.44155322837E+02
2.57500000000E+09,-7.70421046049E+01,+1.66914598161E+02
2.58000000000E+09,-8.12944043606E+01,+1.38347487360E+02
2.58500000000E+09,-8.71108424962E+01,+8.85684308910E+01
2.59000000000E+09,-9.01584241846E+01,-1.67232168825E+01
2.59500000000E+09,-8.21659547078E+01,-3.47229364114E+01
2.60000000000E+09,-8.15529482617E+01,-5.62101744197E+01
2.60500000000E+09,-7.84465283544E+01,-5.62147063935E+01
2.61000000000E+09,-7.37783131541E+01,-9.19831477214E+01
2.61500000000E+09,-7.23195698808E+01,-1.15877308109E+02
2.62000000000E+09,-7.22957380089E+01,-1.49974691342E+02
2.62500000000E+09,-7.67847680909E+01,-1.56029851445E+02
2.63000000000E+09,-7.81605158390E+01,-1.06689636497E+02
2.63500000000E+09,-7.08744002517E+01,-1.32768034425E+02
2.64000000000E+09,-7.06048967878E+01,-1.57243659951E+02
2.64500000000E+09,-6.97089115438E+01,-1.59997630556E+02
2.65000000000E+09,-6.73300130823E+01,-1.74335447403E+02
2.65500000000E+09,-6.63324484498E+01,+1.60920147023E+02
2.66000000000E+09,-6.84360441087E+01,+1.39551488857E+02
2.66500000000E+09,-6.95090534558E+01,+1.36835242261E+02
2.67000000000E+09,-6.84531859142E+01,+1.32570560469E+02
2.67500000000E+09,-6.78625336463E+01,+1.26318655055E+02
2.68000000000E+09,-6.74850429908E+01,+1.12417392078E+02
2.68500000000E+09,-6.87756169168E+01,+1.07864510479E+02
2.69000000000E+09,-6.78073571524E+01,+9.77355454043E+01
2.69500000000E+09,-6.75520289423E+01,+9.07429674404E+01
2.70000000000E+09,-6.71985428945E+01,+9.02738247663E+01
2.70500000000E+09,-6.73303144488E+01,+6.88897998669E+01
2.71000000000E+09,-6.73578814917E+01,+6.08967989828E+01
2.71500000000E+09,-6.95051580609E+01,+4.51052371527E+01
2.72000000000E+09,-6.82442528491E+01,+6.58945982644E+01
2.72500000000E+09,-6.65188594239E+01,+4.59111025196E+01
2.73000000000E+09,-6.68416307525E+01,+4.18950886414E+01
2.73500000000E+09,-6.72999380965E+01,+2.63820160740E+01
2.74000000000E+09,-6.78177225575E+01,+2.86846798894E+01
2.74500000000E+09,-6.59716837576E+01,+2.01410743362E+01
2.75000000000E+09,-6.43166090905E+01,+5.31693155640E+00
2.75500000000E+09,-6.51769549020E+01,-2.49121966499E+01
2.76000000000E+09,-6.72600100742E+01,-3.58781267992E+01
2.76500000000E+09,-7.09054887401E+01,-4.02530769057E+01
2.77000000000E+09,-7.08029712184E+01,-3.69177855937E+01
2.77500000000E+09,-6.97660125863E+01,-9.47172283650E+00
2.78000000000E+09,-6.57549342118E+01,-2.73489981750E+01
2.78500000000E+09,-6.76185045940E+01,-5.64801471468E+01
2.79000000000E+09,-6.96265396061E+01,-6.06129883770E+01
2.79500000000E+09,-6.87276083790E+01,-5.22200464799E+01
2.80000000000E+09,-6.87777535836E+01,-6.09340154341E+01
2.80500000000E+09,-6.84160668986E+01,-7.71286978283E+01
2.81000000000E+09,-7.38962554728E+01,-8.60324781378E+01
