! CMT, C1220, 16058040, 17.2.0/1
! Date: 27/07/2018 14:18:25
! Stimulus(Hz),    S21(dB),           S21(°)
2.50000000000E+09,-6.66091572458E+01,+1.25846130201E+02
2.50500000000E+09,-6.54794833050E+01,+1.25924451696E+02
2.51000000000E+09,-6.39760815976E+01,+1.21049203681E+02
2.51500000000E+09,-6.41212650018E+01,+1.11397744560E+02
2.52000000000E+09,-6.40924900857E+01,+1.08707633091E+02
2.52500000000E+09,-6.30985309858E+01,+1.02915184900E+02
2.53000000000E+09,-6.34913495955E+01,+9.94857044565E+01
2.53500000000E+09,-6.20307940849E+01,+9.77197107024E+01
2.54000000000E+09,-6.08111104182E+01,+8.82034183186E+01
2.54500000000E+09,-6.05905706246E+01,+7.52592855984E+01
2.55000000000E+09,-6.11226184651E+01,+7.08904578801E+01
2.55500000000E+09,-6.11197728290E+01,+6.57111505252E+01
2.56000000000E+09,-6.12124742132E+01,+6.21712882746E+01
2.56500000000E+09,-6.03523375298E+01,+6.23748432580E+01
2.57000000000E+09,-5.93681957892E+01,+5.47545663769E+01
2.57500000000E+09,-5.84936118338E+01,+4.95046542320E+01
2.58000000000E+09,-5.78819183117E+01,+3.76531168751E+01
2.58500000000E+09,-5.79933627311E+01,+2.94952249464E+01
2.59000000000E+09,-5.81313168035E+01,+2.24793227066E+01
2.59500000000E+09,-5.85539238222E+01,+2.00636842094E+01
2.60000000000E+09,-5.74362902019E+01,+1.82837287354E+01
2.60500000000E+09,-5.63460198811E+01,+1.23381838582E+01
2.61000000000E+09,-5.58503951578E+01,+4.77662531092E+00
2.61500000000E+09,-5.51478245408E+01,-5.39149887600E+00
2.62000000000E+09,-5.48304824861E+01,-1.48502923729E+01
2.62500000000E+09,-5.49704899602E+01,-2.00345346831E+01
2.63000000000E+09,-5.46717650902E+01,-2.51658201401E+01
2.63500000000E+09,-5.37285532535E+01,-3.11115890901E+01
2.64000000000E+09,-5.31008374970E+01,-4.01339080139E+01
2.64500000000E+09,-5.29449050969E+01,-5.08699581453E+01
2.65000000000E+09,-5.30946159418E+01,-6.05723055778E+01
2.65500000000E+09,-5.35174462383E+01,-6.76967952949E+01
2.66000000000E+09,-5.35623163324E+01,-7.02030520214E+01
2.66500000000E+09,-5.30091352407E+01,-7.30416767267E+01
2.67000000000E+09,-5.23784761712E+01,-7.95865192817E+01
2.67500000000E+09,-5.16853326992E+01,-8.83862574524E+01
2.68000000000E+09,-5.16846066404E+01,-9.97879630549E+01
2.68500000000E+09,-5.21141160594E+01,-1.05036590699E+02
2.69000000000E+09,-5.21484019336E+01,-1.08744755304E+02
2.69500000000E+09,-5.18188698273E+01,-1.11315142691E+02
2.70000000000E+09,-5.07391340052E+01,-1.16775523032E+02
2.70500000000E+09,-5.02648013133E+01,-1.26375289984E+02
2.71000000000E+09,-4.98873606896E+01,-1.36055466295E+02
2.71500000000E+09,-5.01200458846E+01,-1.45319487142E+02
2.72000000000E+09,-5.01836202317E+01,-1.46753197145E+02
2.72500000000E+09,-4.93774017011E+01,-1.49981709688E+02
2.73000000000E+09,-4.85637708598E+01,-1.58672039873E+02
2.73500000000E+09,-4.81515335960E+01,-1.67979260463E+02
2.74000000000E+09,-4.78393639804E+01,-1.78262417461E+02
2.74500000000E+09,-4.79897887072E+01,+1.74134237019E+02
2.75000000000E+09,-4.80611757158E+01,+1.67437006710E+02
2.75500000000E+09,-4.80424185993E+01,+1.64743332304E+02
2.76000000000E+09,-4.74008435790E+01,+1.58266426133E+02
2.76500000000E+09,-4.70550744555E+01,+1.52511802122E+02
2.77000000000E+09,-4.63117466098E+01,+1.43679568820E+02
2.77500000000E+09,-4.62001498390E+01,+1.34042070910E+02
2.78000000000E+09,-4.62218319012E+01,+1.28972027901E+02
2.78500000000E+09,-4.57562979974E+01,+1.21945604293E+02
2.79000000000E+09,-4.54058636798E+01,+1.14262924167E+02
2.79500000000E+09,-4.53262242883E+01,+1.08204352596E+02
2.80000000000E+09,-4.48098213169E+01,+1.01304226746E+02
2.80500000000E+09,-4.46351379624E+01,+9.31072603814E+01
2.81000000000E+09,-4.44534098782E+01,+8.71030466814E+01
2.81500000000E+09,-4.40059851399E+01,+8.20255965094E+01
2.82000000000E+09,-4.30228673971E+01,+7.40897263458E+01
2.82500000000E+09,-4.27450129027E+01,+6.42202918138E+01
2.83000000000E+09,-4.22037915659E+01,+5.38290400431E+01
2.83500000000E+09,-4.24234280785E+01,+4.28911615868E+01
2.84000000000E+09,-4.27415995274E+01,+3.72444238132E+01
2.84500000000E+09,-4.24354974674E+01,+3.25467785533E+01
2.85000000000E+09,-4.20105550731E+01,+2.53664246717E+01
2.85500000000E+09,-4.16131183427E+01,+1.82807351881E+01
2.86000000000E+09,-4.11019858374E+01,+9.84893410719E+00
2.86500000000E+09,-4.09858326518E+01,+1.49028916063E+00
2.87000000000E+09,-4.06966028878E+01,-5.52721127586E+00
2.87500000000E+09,-4.03896288424E+01,-1.40376446927E+01
2.88000000000E+09,-4.00137964633E+01,-2.12435818976E+01
2.88500000000E+09,-3.94159488542E+01,-3.12540856498E+01
2.89000000000E+09,-3.93757668900E+01,-4.07169483912E+01
2.89500000000E+09,-3.95749955312E+01,-4.96128471911E+01
2.90000000000E+09,-3.93837546892E+01,-5.46278898389E+01
2.90500000000E+09,-3.90052262886E+01,-6.19740536160E+01
2.91000000000E+09,-3.84623656086E+01,-6.88261228804E+01
2.91500000000E+09,-3.76530926849E+01,-7.85387208403E+01
2.92000000000E+09,-3.73230687678E+01,-9.11239646360E+01
2.92500000000E+09,-3.76210289993E+01,-1.01590914193E+02
2.93000000000E+09,-3.76057054502E+01,-1.09976297263E+02
2.93500000000E+09,-3.75949090340E+01,-1.17275638612E+02
2.94000000000E+09,-3.73087333686E+01,-1.24313226101E+02
2.94500000000E+09,-3.66682360911E+01,-1.33217668943E+02
2.95000000000E+09,-3.65411407115E+01,-1.45635558193E+02
2.95500000000E+09,-3.67786832933E+01,-1.54375020392E+02
2.96000000000E+09,-3.66856943484E+01,-1.61772395432E+02
2.96500000000E+09,-3.62138525984E+01,-1.69651494503E+02
2.97000000000E+09,-3.57843246927E+01,+1.79206296557E+02
2.97500000000E+09,-3.56213170627E+01,+1.66769804405E+02
2.98000000000E+09,-3.58306195022E+01,+1.54714979076E+02
2.98500000000E+09,-3.63542643243E+01,+1.44549089603E+02
2.99000000000E+09,-3.66424124140E+01,+1.37367141755E+02
2.99500000000E+09,-3.65452978414E+01,+1.30686630803E+02
3.00000000000E+09,-3.61972800296E+01,+1.20529063083E+02
3.00500000000E+09,-3.63511767739E+01,+1.08859391583E+02
3.01000000000E+09,-3.66311018430E+01,+1.00088040279E+02
3.01500000000E+09,-3.68473901870E+01,+8.98345252049E+01
3.02000000000E+09,-3.72884538687E+01,+8.25144367606E+01
3.02500000000E+09,-3.71314343411E+01,+7.51749053831E+01
3.03000000000E+09,-3.69443251760E+01,+6.45455271035E+01
3.03500000000E+09,-3.74010338807E+01,+5.24950260993E+01
3.04000000000E+09,-3.78793775602E+01,+4.42690635299E+01
3.04500000000E+09,-3.82040357043E+01,+3.57028530806E+01
3.05000000000E+09,-3.87165028992E+01,+2.72587498778E+01
3.05500000000E+09,-3.89915155408E+01,+2.19775187713E+01
3.06000000000E+09,-3.88282079240E+01,+1.44110072837E+01
3.06500000000E+09,-3.89006877386E+01,+3.61980731951E+00
3.07000000000E+09,-3.93693897345E+01,-4.95233776260E+00
3.07500000000E+09,-3.97685816220E+01,-1.30001625839E+01
3.08000000000E+09,-3.99522499616E+01,-2.05641157495E+01
3.08500000000E+09,-4.03261035778E+01,-2.81724095729E+01
3.09000000000E+09,-4.06880798371E+01,-3.50808757417E+01
3.09500000000E+09,-4.04801856566E+01,-4.23436083073E+01
3.10000000000E+09,-4.06739540421E+01,-5.36995343949E+01
3.10500000000E+09,-4.15358773009E+01,-6.42670485102E+01
3.11000000000E+09,-4.23495046051E+01,-6.84738599686E+01
3.11500000000E+09,-4.25405123445E+01,-7.38241329267E+01
3.12000000000E+09,-4.25989022440E+01,-7.90098548860E+01
3.12500000000E+09,-4.23676586051E+01,-8.77240630744E+01
3.13000000000E+09,-4.25729629985E+01,-9.87413658896E+01
3.13500000000E+09,-4.35139262578E+01,-1.08939571635E+02
3.14000000000E+09,-4.46154398609E+01,-1.13670611548E+02
3.14500000000E+09,-4.51005764691E+01,-1.15882428931E+02
3.15000000000E+09,-4.49719515717E+01,-1.20218992776E+02
3.15500000000E+09,-4.49090704155E+01,-1.27116152412E+02
3.16000000000E+09,-4.49402344941E+01,-1.35671908854E+02
3.16500000000E+09,-4.54686782019E+01,-1.43323714818E+02
3.17000000000E+09,-4.59977542593E+01,-1.49884819604E+02
