! CMT, C1220, 16058040, 17.2.0/1
! Date: 27/07/2018 08:46:48
! Stimulus(Hz),    S21(dB),           S21(°)
2.50000000000E+09,-7.02770735898E+01,-8.16710742795E+01
2.50500000000E+09,-6.95249640856E+01,-8.53120737186E+01
2.51000000000E+09,-6.88597822943E+01,-9.32276418183E+01
2.51500000000E+09,-6.93579505510E+01,-1.08508627461E+02
2.52000000000E+09,-7.06116755141E+01,-1.10327673192E+02
2.52500000000E+09,-6.83565422787E+01,-1.14520345609E+02
2.53000000000E+09,-6.90387402798E+01,-1.23751476819E+02
2.53500000000E+09,-6.93813862201E+01,-1.33960178890E+02
2.54000000000E+09,-6.79264283711E+01,-1.33320191455E+02
2.54500000000E+09,-6.66872624234E+01,-1.44729061115E+02
2.55000000000E+09,-6.63315442835E+01,-1.58714126320E+02
2.55500000000E+09,-6.66380239433E+01,-1.74496192869E+02
2.56000000000E+09,-6.86247040195E+01,+1.76033905255E+02
2.56500000000E+09,-6.93510431134E+01,-1.77937844336E+02
2.57000000000E+09,-6.82758336209E+01,+1.76492796426E+02
2.57500000000E+09,-6.90702490787E+01,+1.67149322961E+02
2.58000000000E+09,-6.77766862522E+01,+1.59112037313E+02
2.58500000000E+09,-6.66412224732E+01,+1.50748794077E+02
2.59000000000E+09,-6.81333666063E+01,+1.39032826199E+02
2.59500000000E+09,-6.83721719548E+01,+1.35059883981E+02
2.60000000000E+09,-6.74603243275E+01,+1.27751515611E+02
2.60500000000E+09,-6.86488347658E+01,+1.13492517837E+02
2.61000000000E+09,-6.82457407666E+01,+1.08870858131E+02
2.61500000000E+09,-6.98267170597E+01,+1.16665329477E+02
2.62000000000E+09,-6.92131840774E+01,+1.08767902534E+02
2.62500000000E+09,-6.75210400080E+01,+1.06253001259E+02
2.63000000000E+09,-6.67809185839E+01,+9.28433688139E+01
2.63500000000E+09,-6.71223362157E+01,+7.61145918484E+01
2.64000000000E+09,-6.77565065648E+01,+5.73012007880E+01
2.64500000000E+09,-7.20997535646E+01,+4.42880092110E+01
2.65000000000E+09,-7.37390954487E+01,+7.86708195242E+01
2.65500000000E+09,-7.24227326924E+01,+9.41860600988E+01
2.66000000000E+09,-6.98719128571E+01,+9.15231766767E+01
2.66500000000E+09,-6.75846349300E+01,+8.62811638184E+01
2.67000000000E+09,-6.58822475847E+01,+6.68561852523E+01
2.67500000000E+09,-6.58343735689E+01,+4.63372590680E+01
2.68000000000E+09,-6.66610534843E+01,+3.34065014410E+01
