! CMT, C1220, 16058040, 17.2.0/1
! Date: 27/07/2018 08:37:58
! Stimulus(Hz),    S11(dB),           S11(°)
2.50000000000E+09,-1.25847336830E+00,+4.24541882636E+01
2.50500000000E+09,-1.24484645670E+00,+4.18268341377E+01
2.51000000000E+09,-1.22687649298E+00,+4.13164828477E+01
2.51500000000E+09,-1.20899600157E+00,+4.09429602126E+01
2.52000000000E+09,-1.19824963896E+00,+4.06736347703E+01
2.52500000000E+09,-1.19548702708E+00,+4.04455980550E+01
2.53000000000E+09,-1.20920291991E+00,+4.01913886947E+01
2.53500000000E+09,-1.23549768652E+00,+3.98670931035E+01
2.54000000000E+09,-1.27087212728E+00,+3.93599608007E+01
2.54500000000E+09,-1.31419811069E+00,+3.87089098254E+01
2.55000000000E+09,-1.36174059145E+00,+3.78964042679E+01
2.55500000000E+09,-1.40117840189E+00,+3.69849080015E+01
2.56000000000E+09,-1.43152871928E+00,+3.60526541430E+01
2.56500000000E+09,-1.45127160029E+00,+3.51495410576E+01
2.57000000000E+09,-1.45934534562E+00,+3.43697505549E+01
2.57500000000E+09,-1.46336279463E+00,+3.37327215668E+01
2.58000000000E+09,-1.46580633001E+00,+3.32298532552E+01
2.58500000000E+09,-1.47413018994E+00,+3.28344164410E+01
2.59000000000E+09,-1.48947541670E+00,+3.24599653490E+01
2.59500000000E+09,-1.51832313531E+00,+3.20241978469E+01
2.60000000000E+09,-1.55783593250E+00,+3.14684278439E+01
2.60500000000E+09,-1.60564861740E+00,+3.07491374234E+01
2.61000000000E+09,-1.65579970085E+00,+2.98160533618E+01
2.61500000000E+09,-1.70304257136E+00,+2.87127475838E+01
2.62000000000E+09,-1.74134921284E+00,+2.75325764349E+01
2.62500000000E+09,-1.76547454108E+00,+2.63200522244E+01
2.63000000000E+09,-1.77825712280E+00,+2.51598390891E+01
2.63500000000E+09,-1.78091685168E+00,+2.41517842768E+01
2.64000000000E+09,-1.78322331605E+00,+2.33233921808E+01
2.64500000000E+09,-1.78646812940E+00,+2.26761996203E+01
2.65000000000E+09,-1.79325212307E+00,+2.21777897475E+01
2.65500000000E+09,-1.80706995609E+00,+2.17034192269E+01
2.66000000000E+09,-1.83898011461E+00,+2.11789997654E+01
2.66500000000E+09,-1.88371646330E+00,+2.05941615482E+01
2.67000000000E+09,-1.93704267189E+00,+1.98391538483E+01
2.67500000000E+09,-1.99519356290E+00,+1.89267876561E+01
2.68000000000E+09,-2.05089374908E+00,+1.78818998860E+01
2.68500000000E+09,-2.09734988510E+00,+1.66938577227E+01
2.69000000000E+09,-2.13969627417E+00,+1.54064351589E+01
2.69500000000E+09,-2.17346672322E+00,+1.41230799992E+01
2.70000000000E+09,-2.19658987719E+00,+1.29128084847E+01
2.70500000000E+09,-2.21681446189E+00,+1.17721986189E+01
2.71000000000E+09,-2.23471616592E+00,+1.07559120189E+01
2.71500000000E+09,-2.24800935521E+00,+9.82125303619E+00
2.72000000000E+09,-2.26826364062E+00,+8.93726057233E+00
2.72500000000E+09,-2.29762878864E+00,+8.14365730744E+00
2.73000000000E+09,-2.32702849246E+00,+7.38863145261E+00
2.73500000000E+09,-2.36306390662E+00,+6.60998033039E+00
2.74000000000E+09,-2.40699253279E+00,+5.78880753357E+00
2.74500000000E+09,-2.46112514145E+00,+4.90891064266E+00
2.75000000000E+09,-2.52331801517E+00,+3.96299432323E+00
2.75500000000E+09,-2.59341920655E+00,+2.89422557707E+00
2.76000000000E+09,-2.67040484718E+00,+1.67295649339E+00
2.76500000000E+09,-2.75800144558E+00,+3.20287027917E-01
2.77000000000E+09,-2.84840384266E+00,-1.20810672975E+00
2.77500000000E+09,-2.94204450798E+00,-2.83046823312E+00
