! CMT, C1220, 16058040, 17.2.0/1
! Date: 27/07/2018 14:16:46
! Stimulus(Hz),    S11(dB),           S11(°)
2.50000000000E+09,-1.34678679946E+00,+4.65858922235E+01
2.50500000000E+09,-1.32962949986E+00,+4.61426283540E+01
2.51000000000E+09,-1.30932775898E+00,+4.57413843817E+01
2.51500000000E+09,-1.29452184757E+00,+4.53848550799E+01
2.52000000000E+09,-1.28074024575E+00,+4.50551507019E+01
2.52500000000E+09,-1.27114386372E+00,+4.47193106966E+01
2.53000000000E+09,-1.26923957436E+00,+4.43560890836E+01
2.53500000000E+09,-1.27335183464E+00,+4.39653083893E+01
2.54000000000E+09,-1.28013941970E+00,+4.35429200217E+01
2.54500000000E+09,-1.28938844836E+00,+4.30815633421E+01
2.55000000000E+09,-1.30319683938E+00,+4.25873992204E+01
2.55500000000E+09,-1.31422402390E+00,+4.20546442659E+01
2.56000000000E+09,-1.32599197560E+00,+4.15138046743E+01
2.56500000000E+09,-1.33592144125E+00,+4.09469410433E+01
2.57000000000E+09,-1.34288919520E+00,+4.03868147542E+01
2.57500000000E+09,-1.34967130891E+00,+3.97967608038E+01
2.58000000000E+09,-1.35552121336E+00,+3.92125211603E+01
2.58500000000E+09,-1.36157599054E+00,+3.86424172355E+01
2.59000000000E+09,-1.36289800477E+00,+3.80527283991E+01
2.59500000000E+09,-1.36386597372E+00,+3.74485201046E+01
2.60000000000E+09,-1.36605529714E+00,+3.68254912671E+01
2.60500000000E+09,-1.36839622284E+00,+3.61712259178E+01
2.61000000000E+09,-1.37767881849E+00,+3.54730849197E+01
2.61500000000E+09,-1.38831588518E+00,+3.47537930064E+01
2.62000000000E+09,-1.40308441119E+00,+3.39992456495E+01
2.62500000000E+09,-1.42298199449E+00,+3.32062534587E+01
2.63000000000E+09,-1.44389260748E+00,+3.24050664882E+01
2.63500000000E+09,-1.46146684939E+00,+3.16286359140E+01
2.64000000000E+09,-1.48004748067E+00,+3.08644490886E+01
2.64500000000E+09,-1.49215415379E+00,+3.01342410482E+01
2.65000000000E+09,-1.50086294845E+00,+2.94372636220E+01
2.65500000000E+09,-1.50346595960E+00,+2.87861521875E+01
2.66000000000E+09,-1.50328693846E+00,+2.81521568732E+01
2.66500000000E+09,-1.50416375406E+00,+2.75278504648E+01
2.67000000000E+09,-1.50597836800E+00,+2.68601561866E+01
2.67500000000E+09,-1.51149253302E+00,+2.61572434217E+01
2.68000000000E+09,-1.52784084377E+00,+2.53964222387E+01
2.68500000000E+09,-1.55018395190E+00,+2.45638874401E+01
2.69000000000E+09,-1.58033860677E+00,+2.36595347912E+01
2.69500000000E+09,-1.61402503020E+00,+2.27142447955E+01
