! CMT, C1220, 16058040, 17.2.0/1
! Date: 30/07/2018 16:09:41
! Stimulus(Hz),    S21(dB),           S21(°)
4.00000000000E+09,-6.02770394267E+01,+6.92643139723E+01
4.00500000000E+09,-6.05009379663E+01,+5.82874324532E+01
4.01000000000E+09,-6.05234114410E+01,+5.90506750091E+01
4.01500000000E+09,-5.91198447713E+01,+5.45210004713E+01
4.02000000000E+09,-5.75337403008E+01,+4.68198746753E+01
4.02500000000E+09,-5.64234943831E+01,+3.56936442746E+01
4.03000000000E+09,-5.51037726301E+01,+2.13668394710E+01
4.03500000000E+09,-5.55010640906E+01,-1.20684071194E+00
4.04000000000E+09,-5.74906928459E+01,-1.49624251257E+01
4.04500000000E+09,-5.87687371692E+01,-1.30931682979E+01
4.05000000000E+09,-5.94181546638E+01,-1.92597891424E+01
4.05500000000E+09,-6.00817472999E+01,-1.01131450230E+01
4.06000000000E+09,-5.77445213484E+01,-1.16612941431E+01
4.06500000000E+09,-5.70586257876E+01,-1.53042327413E+01
4.07000000000E+09,-5.57210911948E+01,-2.87872500875E+01
4.07500000000E+09,-5.57522099260E+01,-3.71592152668E+01
4.08000000000E+09,-5.50632818140E+01,-4.58330264599E+01
4.08500000000E+09,-5.50161569898E+01,-6.01139054641E+01
4.09000000000E+09,-5.52527493238E+01,-6.47264460511E+01
4.09500000000E+09,-5.59642753643E+01,-7.23466315327E+01
4.10000000000E+09,-5.55842040150E+01,-7.53597777390E+01
4.10500000000E+09,-5.55806886085E+01,-7.62142787380E+01
4.11000000000E+09,-5.41460048836E+01,-8.04860609603E+01
4.11500000000E+09,-5.21734271749E+01,-9.11128403060E+01
4.12000000000E+09,-5.18622560876E+01,-1.10728593634E+02
4.12500000000E+09,-5.26237714301E+01,-1.23752935965E+02
4.13000000000E+09,-5.35563630000E+01,-1.36039450010E+02
4.13500000000E+09,-5.52133704049E+01,-1.39678021565E+02
4.14000000000E+09,-5.46398375167E+01,-1.38919588695E+02
4.14500000000E+09,-5.50081749310E+01,-1.37421685830E+02
4.15000000000E+09,-5.37054856513E+01,-1.45097747793E+02
4.15500000000E+09,-5.32791646448E+01,-1.52117436475E+02
4.16000000000E+09,-5.30221875381E+01,-1.54347857076E+02
4.16500000000E+09,-5.14016235565E+01,-1.64389574038E+02
4.17000000000E+09,-5.13794902321E+01,-1.75061954167E+02
4.17500000000E+09,-5.07467706851E+01,+1.72216821309E+02
4.18000000000E+09,-5.15874895714E+01,+1.58927828532E+02
4.18500000000E+09,-5.25057856364E+01,+1.53016982534E+02
4.19000000000E+09,-5.33589769914E+01,+1.54170848108E+02
4.19500000000E+09,-5.19284422874E+01,+1.55611503317E+02
4.20000000000E+09,-5.08799802102E+01,+1.46546472187E+02
4.20500000000E+09,-4.99961667600E+01,+1.38003753184E+02
4.21000000000E+09,-4.90730442247E+01,+1.24228231547E+02
4.21500000000E+09,-4.88644279603E+01,+1.13681415803E+02
4.22000000000E+09,-4.88951999111E+01,+9.89188298199E+01
4.22500000000E+09,-4.95636992990E+01,+8.53686745612E+01
4.23000000000E+09,-5.10550729172E+01,+8.01446942635E+01
4.23500000000E+09,-5.08946568038E+01,+8.13343984753E+01
4.24000000000E+09,-5.08420125541E+01,+7.54620957262E+01
4.24500000000E+09,-4.97030398238E+01,+7.05052298361E+01
4.25000000000E+09,-4.98971402350E+01,+6.24772666221E+01
4.25500000000E+09,-4.99716407234E+01,+5.63180874107E+01
4.26000000000E+09,-4.92887408841E+01,+4.89709684242E+01
4.26500000000E+09,-4.86409924463E+01,+4.16626832269E+01
4.27000000000E+09,-4.80645030533E+01,+2.97290107868E+01
4.27500000000E+09,-4.87141082852E+01,+1.60978552874E+01
4.28000000000E+09,-4.94795636418E+01,+1.35795802061E+01
4.28500000000E+09,-4.85088464603E+01,+8.25639505742E+00
4.29000000000E+09,-4.82862490049E+01,-1.63698912676E+00
4.29500000000E+09,-4.77551947136E+01,-9.47924704311E+00
4.30000000000E+09,-4.76337977716E+01,-2.50304893023E+01
4.30500000000E+09,-4.87491641483E+01,-3.21728007298E+01
4.31000000000E+09,-4.83104652810E+01,-4.03743360630E+01
4.31500000000E+09,-4.90391201936E+01,-4.81551433819E+01
4.32000000000E+09,-4.89014618362E+01,-5.11412904830E+01
4.32500000000E+09,-4.82158297268E+01,-6.12167201596E+01
4.33000000000E+09,-4.87198864014E+01,-7.61679385852E+01
4.33500000000E+09,-5.05237799198E+01,-7.67832225404E+01
4.34000000000E+09,-4.93685039222E+01,-7.61330350622E+01
4.34500000000E+09,-4.93562930227E+01,-8.73768025357E+01
4.35000000000E+09,-4.91723986678E+01,-8.74257681799E+01
