! CMT, C1220, 16058040, 17.2.0/1
! Date: 30/07/2018 16:26:41
! Stimulus(Hz),    S21(dB),           S21(°)
4.00000000000E+09,-5.11117766421E+01,+3.17879039238E+01
4.00500000000E+09,-5.05891239343E+01,+2.55635631375E+01
4.01000000000E+09,-5.01019320422E+01,+1.71841036000E+01
4.01500000000E+09,-4.97165015148E+01,+8.79149088421E+00
4.02000000000E+09,-4.98606946901E+01,-3.13921138358E+00
4.02500000000E+09,-5.06588842211E+01,-9.53282200229E+00
4.03000000000E+09,-5.10511574922E+01,-9.91277713796E+00
4.03500000000E+09,-4.93805491703E+01,-1.16524304363E+01
4.04000000000E+09,-4.87834744883E+01,-2.27641644053E+01
4.04500000000E+09,-4.85771110183E+01,-3.26770317184E+01
4.05000000000E+09,-4.86999929891E+01,-4.26070419295E+01
4.05500000000E+09,-4.92921397109E+01,-4.96164056151E+01
4.06000000000E+09,-4.93294137623E+01,-5.29334623181E+01
4.06500000000E+09,-4.86208450243E+01,-5.58608992397E+01
4.07000000000E+09,-4.81650213486E+01,-6.65153452479E+01
4.07500000000E+09,-4.80308863854E+01,-7.29692508574E+01
4.08000000000E+09,-4.81327627906E+01,-8.28775838657E+01
4.08500000000E+09,-4.82055802074E+01,-8.67301014542E+01
4.09000000000E+09,-4.80893058363E+01,-8.99025040812E+01
4.09500000000E+09,-4.70427128283E+01,-9.36107653213E+01
4.10000000000E+09,-4.56475073846E+01,-1.04589707088E+02
4.10500000000E+09,-4.55543216301E+01,-1.18984996377E+02
4.11000000000E+09,-4.61353160212E+01,-1.30890932436E+02
4.11500000000E+09,-4.65441229567E+01,-1.34027219571E+02
4.12000000000E+09,-4.62181525439E+01,-1.42597123008E+02
4.12500000000E+09,-4.64143152572E+01,-1.47490536599E+02
4.13000000000E+09,-4.61505438285E+01,-1.51693377994E+02
4.13500000000E+09,-4.52501979877E+01,-1.59831777492E+02
4.14000000000E+09,-4.51232787119E+01,-1.71386270625E+02
4.14500000000E+09,-4.54777171229E+01,+1.79529942158E+02
4.15000000000E+09,-4.53677110816E+01,+1.75534316494E+02
4.15500000000E+09,-4.53434813083E+01,+1.68209972547E+02
4.16000000000E+09,-4.49649435557E+01,+1.60469666593E+02
4.16500000000E+09,-4.47253872452E+01,+1.53227093418E+02
4.17000000000E+09,-4.47094136148E+01,+1.41888345049E+02
4.17500000000E+09,-4.53145679617E+01,+1.32674923562E+02
4.18000000000E+09,-4.55508043594E+01,+1.34497776181E+02
4.18500000000E+09,-4.44762549342E+01,+1.27070310276E+02
4.19000000000E+09,-4.40006278484E+01,+1.16841846582E+02
4.19500000000E+09,-4.38575778434E+01,+1.08962028220E+02
4.20000000000E+09,-4.35937588740E+01,+9.66529188509E+01
4.20500000000E+09,-4.42453550454E+01,+8.47113249164E+01
4.21000000000E+09,-4.54778369874E+01,+8.29230100349E+01
4.21500000000E+09,-4.42267681078E+01,+8.38759786023E+01
4.22000000000E+09,-4.38582511339E+01,+7.16925105333E+01
4.22500000000E+09,-4.39641758342E+01,+6.34573406748E+01
4.23000000000E+09,-4.36244288120E+01,+5.75258093315E+01
4.23500000000E+09,-4.37936840079E+01,+4.81260286274E+01
4.24000000000E+09,-4.40957883914E+01,+4.26572450386E+01
4.24500000000E+09,-4.33356499522E+01,+4.11113580126E+01
4.25000000000E+09,-4.23395369964E+01,+2.71199111234E+01
4.25500000000E+09,-4.26851441808E+01,+1.52532026693E+01
4.26000000000E+09,-4.33858213438E+01,+8.26560651926E+00
4.26500000000E+09,-4.32695413373E+01,+4.29100511107E+00
4.27000000000E+09,-4.31014486931E+01,-3.68107415413E+00
4.27500000000E+09,-4.31242680058E+01,-7.14468119994E+00
4.28000000000E+09,-4.18699595417E+01,-1.80914095935E+01
4.28500000000E+09,-4.23780343112E+01,-3.06895876571E+01
4.29000000000E+09,-4.29703431054E+01,-3.94761399982E+01
4.29500000000E+09,-4.31402873337E+01,-4.28990906758E+01
4.30000000000E+09,-4.30088182362E+01,-5.16158151493E+01
4.30500000000E+09,-4.29031529277E+01,-5.77052446074E+01
