! CMT, C1220, 16058040, 17.2.0/1
! Date: 30/07/2018 16:10:21
! Stimulus(Hz),    S21(dB),           S21(°)
4.00000000000E+09,-5.99467655339E+01,+5.66957293446E+01
4.00500000000E+09,-5.95575177881E+01,+4.76531213604E+01
4.01000000000E+09,-5.97155548603E+01,+4.64105387446E+01
4.01500000000E+09,-5.87768294652E+01,+4.06642146012E+01
4.02000000000E+09,-5.70343698610E+01,+3.34058834426E+01
4.02500000000E+09,-5.63088256767E+01,+2.22515194680E+01
4.03000000000E+09,-5.50751790753E+01,+7.85498476409E+00
4.03500000000E+09,-5.57302763471E+01,-1.34501010096E+01
4.04000000000E+09,-5.72537932961E+01,-2.35386323340E+01
4.04500000000E+09,-5.84495272502E+01,-2.79397926444E+01
4.05000000000E+09,-5.93127932241E+01,-3.46637007144E+01
4.05500000000E+09,-6.03708801155E+01,-2.22258230579E+01
4.06000000000E+09,-5.77986382330E+01,-2.53220711756E+01
4.06500000000E+09,-5.73673950331E+01,-3.23430079411E+01
4.07000000000E+09,-5.61349413093E+01,-4.24468168304E+01
4.07500000000E+09,-5.63990141793E+01,-5.14907592746E+01
4.08000000000E+09,-5.58833050296E+01,-5.49327806448E+01
4.08500000000E+09,-5.58301462494E+01,-6.80021282096E+01
4.09000000000E+09,-5.55204078703E+01,-7.13804586233E+01
4.09500000000E+09,-5.55427854982E+01,-8.11960376575E+01
4.10000000000E+09,-5.50219010026E+01,-8.80706516423E+01
4.10500000000E+09,-5.54509422244E+01,-9.26877915800E+01
4.11000000000E+09,-5.45584871420E+01,-9.73627822158E+01
4.11500000000E+09,-5.26946034615E+01,-1.03301120678E+02
4.12000000000E+09,-5.21302272818E+01,-1.24134442106E+02
4.12500000000E+09,-5.30549711099E+01,-1.38571666154E+02
4.13000000000E+09,-5.41765469595E+01,-1.49550753896E+02
4.13500000000E+09,-5.55991517047E+01,-1.55910547120E+02
4.14000000000E+09,-5.57773057600E+01,-1.56017271613E+02
4.14500000000E+09,-5.60625333920E+01,-1.53831704045E+02
4.15000000000E+09,-5.50184929453E+01,-1.61384755844E+02
4.15500000000E+09,-5.48465542941E+01,-1.69725361347E+02
4.16000000000E+09,-5.52657461269E+01,-1.71903895525E+02
4.16500000000E+09,-5.39223042784E+01,-1.74666593899E+02
4.17000000000E+09,-5.37821964511E+01,+1.73983974754E+02
4.17500000000E+09,-5.30142086211E+01,+1.66992250327E+02
4.18000000000E+09,-5.31677447702E+01,+1.54560781660E+02
4.18500000000E+09,-5.31883999281E+01,+1.44877008781E+02
4.19000000000E+09,-5.45504470293E+01,+1.39357403557E+02
4.19500000000E+09,-5.43652285099E+01,+1.43437945868E+02
4.20000000000E+09,-5.32635114043E+01,+1.39378053762E+02
4.20500000000E+09,-5.20175576383E+01,+1.33125905431E+02
4.21000000000E+09,-5.11230735465E+01,+1.19475289158E+02
4.21500000000E+09,-5.07798234763E+01,+1.10112935619E+02
4.22000000000E+09,-5.03777455040E+01,+9.49887015678E+01
4.22500000000E+09,-5.09208017012E+01,+8.03455825744E+01
4.23000000000E+09,-5.26864994949E+01,+7.13231513856E+01
4.23500000000E+09,-5.29772118047E+01,+7.26925206400E+01
4.24000000000E+09,-5.35523813047E+01,+6.56342362778E+01
4.24500000000E+09,-5.27600175492E+01,+6.56855942390E+01
4.25000000000E+09,-5.31226518525E+01,+6.29870951958E+01
4.25500000000E+09,-5.24138522396E+01,+5.96146078825E+01
4.26000000000E+09,-5.10353905949E+01,+5.30441603472E+01
4.26500000000E+09,-5.04388487965E+01,+4.50916170742E+01
4.27000000000E+09,-4.95555407698E+01,+3.21181997615E+01
4.27500000000E+09,-5.02808361631E+01,+1.53460808889E+01
4.28000000000E+09,-5.13493271039E+01,+1.23362380778E+01
4.28500000000E+09,-5.01731708221E+01,+9.50038365565E+00
4.29000000000E+09,-5.05057885830E+01,+8.06295119300E-01
4.29500000000E+09,-4.93373437688E+01,-3.83000323105E+00
4.30000000000E+09,-4.89351515519E+01,-2.04237139359E+01
4.30500000000E+09,-4.99452347813E+01,-2.92338070745E+01
4.31000000000E+09,-4.97420431250E+01,-3.65860704730E+01
4.31500000000E+09,-5.01232647182E+01,-4.46793942059E+01
4.32000000000E+09,-4.99196553013E+01,-4.86876608164E+01
4.32500000000E+09,-4.94049839971E+01,-5.92720119100E+01
4.33000000000E+09,-5.00690156852E+01,-7.35913751293E+01
4.33500000000E+09,-5.17993472879E+01,-7.13880574102E+01
4.34000000000E+09,-5.05260492126E+01,-7.25215639686E+01
4.34500000000E+09,-5.04251016696E+01,-8.19996904130E+01
4.35000000000E+09,-5.00884462399E+01,-8.39678132261E+01
4.35500000000E+09,-4.93107054898E+01,-9.35680943639E+01
4.36000000000E+09,-4.85171588794E+01,-1.02997055236E+02
4.36500000000E+09,-4.79832090349E+01,-1.15227593278E+02
4.37000000000E+09,-4.83624044995E+01,-1.31989586173E+02
4.37500000000E+09,-4.94332382018E+01,-1.39647516102E+02
4.38000000000E+09,-4.97952041523E+01,-1.49080034746E+02
4.38500000000E+09,-5.08755519346E+01,-1.52716560077E+02
4.39000000000E+09,-5.11443953319E+01,-1.55046581416E+02
4.39500000000E+09,-5.10183687380E+01,-1.60253896221E+02
